swap_id,from_slug,to_slug,from_capital,to_capital,n_positions,target_appears_at,source_appears_at,flip_position,initial_gap,best_gap,final_gap,gap_closure,control_stability_mean,control_stability_max,target_first_top1,target_first_top5,target_first_top10,target_max_prob,target_min_rank,target_final_rank,target_rank_improvement,source_final_rank,source_max_prob,target_logit_delta_0,source_logit_delta_0,baseline_gap,steered_gap_0,gap_closure_0,target_rank_improvement_0,flip_at_0,baseline_target_rank,baseline_source_rank,baseline_target_prob,baseline_source_prob
anna_karenina__to__anna_karenina,anna_karenina,anna_karenina,,,1,3.0,3.0,,0.0,0.0,0.0,0.0,,,,,,0.000204,47.0,47.0,0.0,47.0,0.000204,-4.625,-4.625,0.0,0.0,0.0,-46.0,False,1,1,0.460938,0.460938
anna_karenina__to__atticus_finch,anna_karenina,atticus_finch,,,1,0.0,,,-5.8711,-5.8711,-5.8711,0.0,,,,,,0.0,8783.0,8783.0,0.0,160.0,0.0,-18.125,-25.3789,-13.125,-5.8711,7.2539,-7453.0,False,1330,1,1e-06,0.460938
anna_karenina__to__captain_ahab,anna_karenina,captain_ahab,,,1,0.0,,,-9.25,-9.25,-9.25,0.0,,,,,,0.0,5204.0,5204.0,0.0,29.0,0.000254,-6.25,-9.0,-12.0,-9.25,2.75,-4383.0,False,821,1,3e-06,0.460938
anna_karenina__to__don_quixote,anna_karenina,don_quixote,,,1,,,,-2.1875,-2.1875,-2.1875,0.0,,,,,,0.0,151354.0,151354.0,0.0,52174.0,0.0,-27.25,-38.3125,-13.25,-2.1875,11.0625,-149962.0,False,1392,1,1e-06,0.460938
anna_karenina__to__dracula,anna_karenina,dracula,,,1,,4.0,,-9.875,-9.875,-9.875,0.0,,,,,,0.0,138774.0,138774.0,0.0,594.0,0.0,-18.5625,-24.75,-16.0625,-9.875,6.1875,-134534.0,False,4240,1,0.0,0.460938
anna_karenina__to__elizabeth_bennet,anna_karenina,elizabeth_bennet,,,1,0.0,,,-9.6875,-9.6875,-9.6875,0.0,,,,,,0.0,6416.0,6416.0,0.0,27.0,0.000221,-13.875,-10.5625,-6.375,-9.6875,-3.3125,-6371.0,False,45,1,0.000786,0.460938
anna_karenina__to__frodo_baggins,anna_karenina,frodo_baggins,,,1,0.0,,,-2.5625,-2.5625,-2.5625,0.0,,,,,,0.0,1783.0,1783.0,0.0,414.0,0.0,-5.625,-13.9375,-10.875,-2.5625,8.3125,-1297.0,False,486,1,9e-06,0.460938
anna_karenina__to__hermione_granger,anna_karenina,hermione_granger,,,1,,,0.0,0.25,0.25,0.25,0.0,,,,,,6e-06,1351.0,1351.0,0.0,1540.0,5e-06,2.375,-8.75,-10.875,0.25,11.125,-865.0,True,486,1,9e-06,0.460938
anna_karenina__to__holden_caulfield,anna_karenina,holden_caulfield,,,1,,2.0,0.0,0.375,0.375,0.375,0.0,,,,,,0.0,35461.0,35461.0,0.0,47866.0,0.0,-29.3125,-40.5625,-10.875,0.375,11.25,-34975.0,True,486,1,9e-06,0.460938
anna_karenina__to__huckleberry_finn,anna_karenina,huckleberry_finn,,,1,0.0,,,-8.4375,-8.4375,-8.4375,0.0,,,,,,0.0,2676.0,2676.0,0.0,23.0,0.000423,-8.1875,-8.75,-9.0,-8.4375,0.5625,-2458.0,False,218,1,5.7e-05,0.460938
anna_karenina__to__jay_gatsby,anna_karenina,jay_gatsby,,,1,,,,0.0,0.0,0.0,0.0,,,,,,0.0,50247.0,50247.0,0.0,50247.0,0.0,-33.625,-39.375,-5.75,0.0,5.75,-50217.0,False,30,1,0.001465,0.460938
anna_karenina__to__katniss_everdeen,anna_karenina,katniss_everdeen,,,1,0.0,,,-6.375,-6.375,-6.375,0.0,,,,,,1e-06,1322.0,1322.0,0.0,33.0,0.000303,-1.125,-10.0,-15.25,-6.375,8.875,1784.0,False,3106,1,0.0,0.460938
anna_karenina__to__oliver_twist,anna_karenina,oliver_twist,,,1,,5.0,,-2.0,-2.0,-2.0,0.0,,,,,,1.2e-05,622.0,622.0,0.0,236.0,9e-05,-0.875,-6.0,-7.125,-2.0,5.125,-549.0,False,73,1,0.00037,0.460938
anna_karenina__to__raskolnikov,anna_karenina,raskolnikov,,,1,,,,-2.625,-2.625,-2.625,0.0,,,,,,4.4e-05,241.0,241.0,0.0,84.0,0.00061,-0.375,-2.875,-5.125,-2.625,2.5,-223.0,False,18,1,0.002747,0.460938
anna_karenina__to__scout_finch,anna_karenina,scout_finch,,,1,,8.0,,-8.5,-8.5,-8.5,0.0,,,,,,0.0,2432.0,2432.0,0.0,32.0,0.000973,1.875,-2.75,-13.125,-8.5,4.625,-1102.0,False,1330,1,1e-06,0.460938
anna_karenina__to__winston_smith,anna_karenina,winston_smith,,,1,,,,-2.0,-2.0,-2.0,0.0,,,,,,3e-06,853.0,853.0,0.0,330.0,2.3e-05,-1.0,-7.375,-8.375,-2.0,6.375,-703.0,False,150,1,0.000106,0.460938
atticus_finch__to__anna_karenina,atticus_finch,anna_karenina,,,1,,,,-8.0,-8.0,-8.0,0.0,,,,,,0.0,21197.0,21197.0,0.0,694.0,7e-06,-4.5,-7.5,-11.0,-8.0,3.0,-20732.0,False,465,1,1e-05,0.570312
atticus_finch__to__atticus_finch,atticus_finch,atticus_finch,,,1,2.0,2.0,,0.0,0.0,0.0,0.0,,,,,,1e-06,1166.0,1166.0,0.0,1166.0,1e-06,-11.1875,-11.1875,0.0,0.0,0.0,-1165.0,False,1,1,0.570312,0.570312
atticus_finch__to__captain_ahab,atticus_finch,captain_ahab,,,1,0.0,,,-8.125,-8.125,-8.125,0.0,,,,,,0.0,36052.0,36052.0,0.0,299.0,0.0,-16.0937,-19.4062,-11.4375,-8.125,3.3125,-35467.0,False,585,1,6e-06,0.570312
atticus_finch__to__don_quixote,atticus_finch,don_quixote,,,1,,,,-5.375,-5.375,-5.375,0.0,,,,,,0.0,176642.0,176642.0,0.0,2346.0,0.0,-22.7188,-37.625,-20.2812,-5.375,14.9062,-156093.0,False,20549,1,0.0,0.570312
atticus_finch__to__dracula,atticus_finch,dracula,,,1,,4.0,,-6.5625,-6.5625,-6.5625,0.0,,,,,,0.0,170006.0,170006.0,0.0,9829.0,0.0,-26.25,-32.5625,-12.875,-6.5625,6.3125,-168861.0,False,1145,1,1e-06,0.570312
atticus_finch__to__elizabeth_bennet,atticus_finch,elizabeth_bennet,,,1,0.0,,,-3.9375,-3.9375,-3.9375,0.0,,,,,,1e-06,781.0,781.0,0.0,126.0,6.1e-05,-2.0625,-5.5,-7.375,-3.9375,3.4375,-715.0,False,66,1,0.000359,0.570312
atticus_finch__to__frodo_baggins,atticus_finch,frodo_baggins,,,1,0.0,,0.0,5.0,5.0,5.0,0.0,,,,,,0.000389,25.0,25.0,0.0,309.0,3e-06,4.25,-8.25,-7.5,5.0,12.5,58.0,True,83,1,0.000317,0.570312
