layer,feature,frac_external_raw,logit_influence
0,253,1.0,0.4245030879974365
0,355,1.0,0.660190999507904
0,512,1.0,0.7966341376304626
0,593,1.0,0.7767767906188965
0,778,1.0,0.7154301404953003
0,800,1.0,0.5656802654266357
0,1165,1.0,0.4924091398715973
0,1668,1.0,0.7607553005218506
0,1847,1.0,0.7920374274253845
0,1903,1.0,0.6209143996238708
0,1915,1.0,0.7447823286056519
0,2115,1.0,0.6999025940895081
0,2189,1.0,0.7958183288574219
0,2198,1.0,0.7315683960914612
0,2247,1.0,0.5200984477996826
0,2364,1.0,0.6606994867324829
0,2455,1.0,0.5493828654289246
0,2508,1.0,0.49775317311286926
0,2602,1.0,0.761468768119812
0,2671,1.0,0.73139888048172
0,3202,1.0,0.6683310866355896
0,3255,1.0,0.7730746865272522
0,3256,1.0,0.5888487696647644
0,3276,1.0,0.6599361300468445
0,3636,1.0,0.7887815833091736
0,3853,1.0,0.7938181161880493
0,3977,1.0,0.7430345416069031
0,4137,1.0,0.7462013959884644
0,4270,1.0,0.44301047921180725
0,4448,1.0,0.7317372560501099
0,5194,1.0,0.7135610580444336
0,5215,1.0,0.6265674829483032
0,5312,1.0,0.7364037036895752
0,5319,1.0,0.7572933435440063
0,5358,1.0,0.7062894105911255
0,5775,1.0,0.7511646151542664
0,6209,1.0,0.7415950298309326
0,6734,1.0,0.710533082485199
0,7845,1.0,0.7033252120018005
0,8008,1.0,0.6992905735969543
0,8172,1.0,0.7574388980865479
0,8178,1.0,0.5876876711845398
0,8300,1.0,0.4285873770713806
0,8407,1.0,0.7695687413215637
0,8444,1.0,0.765566349029541
0,8489,1.0,0.7802767753601074
0,8649,1.0,0.7917989492416382
0,8694,1.0,0.6749202013015747
0,8773,1.0,0.6685715317726135
0,8938,1.0,0.7813003063201904
0,9022,1.0,0.6781173944473267
0,9026,1.0,0.39241528511047363
0,9209,1.0,0.5691818594932556
0,9318,1.0,0.7682005167007446
0,9513,1.0,0.7078454494476318
0,9588,1.0,0.38204124569892883
0,9654,1.0,0.45022475719451904
0,9747,1.0,0.6828474998474121
0,9830,1.0,0.5503700971603394
0,10089,1.0,0.6366878747940063
0,10916,1.0,0.7718685269355774
0,10982,1.0,0.7587438225746155
0,11107,1.0,0.7488553524017334
0,11225,1.0,0.7471412420272827
0,11248,1.0,0.5561425089836121
0,11350,1.0,0.6563476324081421
0,11835,1.0,0.5135291814804077
0,11891,1.0,0.7835786938667297
0,11916,1.0,0.594139575958252
0,11927,1.0,0.6320155262947083
0,12688,1.0,0.7638801336288452
0,13125,1.0,0.7485443949699402
0,13263,1.0,0.7988315224647522
0,14184,1.0,0.6671220064163208
0,14267,1.0,0.6945456862449646
0,14396,1.0,0.7460445165634155
0,14426,1.0,0.6042404770851135
0,14655,1.0,0.7221550345420837
0,14725,1.0,0.7996341586112976
0,15115,1.0,0.6157147288322449
0,15915,1.0,0.7634563446044922
0,15950,1.0,0.7051103115081787
0,16037,1.0,0.6568635106086731
0,16124,1.0,0.6627106070518494
0,16138,1.0,0.7146843671798706
0,16170,1.0,0.7150575518608093
0,16183,1.0,0.5817551612854004
0,16376,1.0,0.7312293648719788
0,96,1.0,0.7446240782737732
0,253,1.0,0.490352988243103
0,478,1.0,0.6513810753822327
0,709,1.0,0.7834529280662537
0,1117,1.0,0.7025266885757446
0,1165,1.0,0.481105774641037
0,1903,1.0,0.3880583345890045
0,2115,1.0,0.6850724816322327
0,2364,1.0,0.6202725172042847
0,2455,1.0,0.4364362955093384
0,2514,1.0,0.7148709893226624
0,2912,1.0,0.7060931324958801
0,3018,1.0,0.7249913811683655
0,3329,1.0,0.7385308742523193
0,3436,1.0,0.6735343933105469
0,3523,1.0,0.6984730958938599
0,4270,1.0,0.650850772857666
0,4410,1.0,0.41814181208610535
0,4823,1.0,0.5630106925964355
0,5074,1.0,0.6866171956062317
0,5351,1.0,0.7531394958496094
0,5716,1.0,0.6547904014587402
0,5761,1.0,0.737388014793396
0,5940,1.0,0.7112942337989807
0,6421,1.0,0.6404001116752625
0,6687,1.0,0.7372243404388428
0,6958,1.0,0.7334189414978027
0,7020,1.0,0.7720028758049011
0,7344,1.0,0.6386951208114624
0,7451,1.0,0.6794791221618652
0,8008,1.0,0.5764306783676147
0,8722,1.0,0.46530357003211975
0,8768,1.0,0.679931640625
0,9348,1.0,0.7751972675323486
0,9588,1.0,0.5264110565185547
0,9654,1.0,0.681056797504425
0,9773,1.0,0.7496293187141418
0,10317,1.0,0.6778897047042847
0,10614,1.0,0.6913740634918213
0,10643,1.0,0.7172767519950867
0,11248,1.0,0.7914401292800903
0,11916,1.0,0.5532804131507874
0,12200,1.0,0.6429386138916016
0,12605,1.0,0.7874348163604736
0,12698,1.0,0.5085989236831665
0,13004,1.0,0.6093716025352478
0,13096,1.0,0.6262586116790771
0,13140,1.0,0.6848510503768921
0,13976,1.0,0.7262200713157654
0,14322,1.0,0.6661519408226013
0,14457,1.0,0.7170935273170471
0,14536,1.0,0.6663947701454163
0,14691,1.0,0.5845552086830139
0,15093,1.0,0.7027266025543213
0,15622,1.0,0.790840208530426
0,15890,1.0,0.6465348601341248
0,15942,1.0,0.6150546669960022
0,16170,1.0,0.7474536299705505
0,16267,1.0,0.7902376055717468
0,253,1.0,0.7825705409049988
0,302,1.0,0.664195716381073
0,355,1.0,0.7895113229751587
0,394,1.0,0.5448588132858276
0,1071,1.0,0.7575843930244446
0,1138,1.0,0.7441486716270447
0,1165,1.0,0.6163719892501831
0,1700,1.0,0.6852938532829285
0,1847,1.0,0.5945098400115967
0,1961,1.0,0.4125300347805023
0,2115,1.0,0.5235661268234253
0,2189,1.0,0.7128081321716309
0,2204,1.0,0.6406832933425903
0,2327,1.0,0.7382051944732666
0,2850,1.0,0.5669981837272644
0,3284,1.0,0.6086934208869934
0,3331,1.0,0.5527984499931335
0,3412,1.0,0.6492449641227722
0,3484,1.0,0.6090326309204102
0,3553,1.0,0.7784706354141235
0,3636,1.0,0.7023266553878784
0,3729,1.0,0.6063104271888733
0,3978,1.0,0.547394871711731
0,4089,1.0,0.7845818400382996
0,4270,1.0,0.7404689192771912
0,4323,1.0,0.43453216552734375
0,4410,1.0,0.5647962689399719
0,4651,1.0,0.5331279039382935
0,4823,1.0,0.5837593078613281
0,5292,1.0,0.7084240913391113
0,5297,1.0,0.7185532450675964
0,5319,1.0,0.7107234597206116
0,5480,1.0,0.7546395063400269
0,5640,1.0,0.6003414988517761
0,5660,1.0,0.40300461649894714
0,6056,1.0,0.586129367351532
0,6116,1.0,0.7190977931022644
0,6133,1.0,0.7139362692832947
0,6217,1.0,0.7876803278923035
0,6361,1.0,0.6651774048805237
0,6421,1.0,0.5743323564529419
0,6440,1.0,0.6045884490013123
0,6741,1.0,0.5116950273513794
0,6842,1.0,0.764162540435791
0,7118,1.0,0.41138017177581787
0,7564,1.0,0.6412491202354431
0,7633,1.0,0.7143108248710632
0,7746,1.0,0.7717341184616089
0,8008,1.0,0.6031934022903442
0,8155,1.0,0.6448857188224792
0,8316,1.0,0.601418137550354
0,8489,1.0,0.6737667918205261
0,8885,1.0,0.42655181884765625
0,8939,1.0,0.4562269449234009
0,9026,1.0,0.4637036621570587
0,9044,1.0,0.7593212127685547
0,9424,1.0,0.6212340593338013
0,9654,1.0,0.735909104347229
0,9697,1.0,0.6372639536857605
0,9773,1.0,0.7165418267250061
0,9860,1.0,0.794173002243042
0,11124,1.0,0.4519589841365814
0,11221,1.0,0.6947545409202576
0,11657,1.0,0.7680630087852478
0,11835,1.0,0.798255980014801
0,11976,1.0,0.747297465801239
0,12005,1.0,0.6059675812721252
0,12163,1.0,0.6812809705734253
0,12200,1.0,0.6277983784675598
0,12294,1.0,0.6524389386177063
0,12371,1.0,0.7082312703132629
0,12613,1.0,0.4699639678001404
0,13336,1.0,0.7990611791610718
0,13498,1.0,0.7232232689857483
0,13654,1.0,0.6500495076179504
0,13943,1.0,0.7661246657371521
0,15038,1.0,0.7675120830535889
0,15147,1.0,0.7248154282569885
0,15734,1.0,0.49709776043891907
0,16170,1.0,0.7029264569282532
0,52,1.0,0.7905994057655334
0,2848,1.0,0.36937329173088074
0,3517,1.0,0.7951156497001648
0,3718,1.0,0.7339196801185608
0,8008,1.0,0.7131848335266113
0,9379,1.0,0.6459871530532837
0,9773,1.0,0.7787305116653442
0,10731,1.0,0.756708562374115
0,11385,1.0,0.7214393019676208
0,12920,1.0,0.6073352694511414
0,13004,1.0,0.7981405258178711
0,13282,1.0,0.6378382444381714
0,14300,1.0,0.6839627027511597
0,16170,1.0,0.7925134897232056
0,49,1.0,0.6702437996864319
0,389,1.0,0.7120526432991028
0,1575,1.0,0.5612043738365173
0,1847,1.0,0.7342523336410522
0,1970,1.0,0.7003100514411926
0,2115,1.0,0.6941269636154175
0,2189,1.0,0.7611836791038513
0,3003,1.0,0.6955865621566772
0,3197,1.0,0.7270945906639099
0,3213,1.0,0.7984862923622131
0,3495,1.0,0.7544898986816406
0,4435,1.0,0.6331967115402222
0,4816,1.0,0.7111040353775024
0,4823,1.0,0.7156159281730652
0,5297,1.0,0.7420758008956909
0,5744,1.0,0.6622127294540405
0,6116,1.0,0.7556800246238708
0,6421,1.0,0.643218994140625
0,6485,1.0,0.6130667328834534
0,6601,1.0,0.5772624611854553
0,6619,1.0,0.6939169764518738
0,7750,1.0,0.7435123324394226
0,7968,1.0,0.6714249849319458
0,8008,1.0,0.7596092820167542
0,8057,1.0,0.7019243240356445
0,8229,1.0,0.7439897060394287
0,8322,1.0,0.663207471370697
0,8489,1.0,0.7288305759429932
0,8817,1.0,0.7091929912567139
0,8872,1.0,0.5380264520645142
0,9026,1.0,0.7828232049942017
0,9135,1.0,0.6844077706336975
0,9497,1.0,0.6558296084403992
0,9825,1.0,0.7337529063224792
0,9987,1.0,0.7910805940628052
0,10082,1.0,0.6589153409004211
0,10470,1.0,0.6742300391197205
0,10740,1.0,0.6293184757232666
0,10754,1.0,0.4628978371620178
0,10983,1.0,0.6905196309089661
0,12200,1.0,0.6529654264450073
0,12246,1.0,0.7217974066734314
0,12295,1.0,0.7141236066818237
0,12356,1.0,0.7505526542663574
0,12946,1.0,0.7580199241638184
0,13727,1.0,0.5551960468292236
0,14641,1.0,0.6147242188453674
0,14790,1.0,0.6881439089775085
0,15990,1.0,0.7235783338546753
0,16170,1.0,0.766542375087738
0,16340,1.0,0.7281383872032166
0,65,1.0,0.64897620677948
0,76,1.0,0.7722713351249695
0,249,1.0,0.6903048157691956
0,403,1.0,0.6218733191490173
0,592,1.0,0.5704852938652039
0,854,1.0,0.6545300483703613
0,1290,1.0,0.5016434788703918
0,1847,1.0,0.6932860612869263
0,1966,1.0,0.7591771483421326
0,2509,1.0,0.676750123500824
