layer,feature,id,ctx_idx,token,activation,frac_external_raw,logit_influence
-1,0,2,0,<bos>,,1.0,0.09893456846475601
-1,1,651,1,The,,1.0,0.1356445997953415
-1,2,6037,2, capital,,1.0,0.057970937341451645
-1,3,576,3, of,,1.0,0.25984296202659607
-1,4,2329,4, state,,1.0,0.22150908410549164
-1,5,10751,5, containing,,1.0,0.19716255366802216
-1,6,26865,6, Dallas,,1.0,0.16704338788986206
-1,7,603,7, is,,1.0,0.2432725429534912
0,-1,0,1,The,,1.0,0.5968613028526306
0,-1,0,2, capital,,1.0,0.3620918393135071
0,-1,0,3, of,,1.0,0.5556761026382446
0,-1,0,4, state,,1.0,0.428988516330719
0,-1,0,5, containing,,1.0,0.40415507555007935
0,-1,0,6, Dallas,,1.0,0.47579729557037354
0,-1,0,7, is,,1.0,0.5956796407699585
0,14,4,3, of,1.8600974082946777,1.0,0.7160626649856567
0,902,41,1,The,2.5211942195892334,1.0,0.7748075723648071
0,1274,49,4, state,4.472774028778076,1.0,0.6133649349212646
0,1430,52,3, of,2.089338779449463,1.0,0.7176775932312012
0,2210,65,5, containing,4.7859697341918945,1.0,0.6200887560844421
0,2484,69,2, capital,1.0863304138183594,1.0,0.7947994470596313
0,3002,76,5, containing,2.6691606044769287,1.0,0.702000081539154
0,4752,96,1,The,3.5542612075805664,1.0,0.6762856245040894
0,8255,127,6, Dallas,2.8844761848449707,1.0,0.7328494787216187
0,13040,160,2, capital,1.2446393966674805,1.0,0.7896783351898193
0,31374,249,5, containing,3.7227773666381836,1.0,0.6607034206390381
0,46055,302,2, capital,3.188178539276123,1.0,0.6172870993614197
0,46970,305,2, capital,2.5935006141662598,1.0,0.6321576237678528
0,63189,354,1,The,4.824331283569336,1.0,0.6424389481544495
0,63545,355,2, capital,2.150524377822876,1.0,0.6850578784942627
0,76244,389,4, state,4.293372631072998,1.0,0.6509802937507629
0,77027,391,6, Dallas,2.0702943801879883,1.0,0.7591795921325684
0,78209,394,2, capital,6.644719123840332,1.0,0.47189316153526306
0,81809,403,5, containing,5.803500652313232,1.0,0.585089385509491
