from_slug,water_lilies,starry_night,persistence_of_memory,campbells_soup,guernica,the_scream,girl_pearl_earring,birth_of_venus,grande_jatte,nighthawks
water_lilies,,0.0,,,,,,,,
starry_night,0.0,,,,,,,,,
persistence_of_memory,,,,,0.0,,,,,
campbells_soup,,,,,,0.0,,,,
guernica,,,,,,,,,,
the_scream,,,,,,,,,,
girl_pearl_earring,,,,,,,,0.0,,
birth_of_venus,,,,,,,,,,
grande_jatte,,,,,,,,,,
nighthawks,,,,,,,,,,
