swap_id,from_slug,to_slug,from_capital,to_capital,n_positions,target_appears_at,source_appears_at,flip_position,initial_gap,best_gap,final_gap,gap_closure,control_stability_mean,control_stability_max,target_first_top1,target_first_top5,target_first_top10,target_max_prob,target_min_rank,target_final_rank,target_rank_improvement,source_final_rank,source_max_prob,target_logit_delta_0,source_logit_delta_0,baseline_gap,steered_gap_0,gap_closure_0,target_rank_improvement_0,flip_at_0,baseline_target_rank,baseline_source_rank,baseline_target_prob,baseline_source_prob
alabama_birmingham__to__arizona_tucson,alabama_birmingham,arizona_tucson,Montgomery,Phoenix,11,,,0.0,9.1875,13.5156,6.25,4.328099999999999,13.2695,26.1094,,,,0.006744,20,288,46,3169,7e-06,-3.125,-17.0625,-4.75,9.1875,13.9375,40,True,106,5,0.000549,0.063477
alabama_birmingham__to__arkansas_fayetteville,alabama_birmingham,arkansas_fayetteville,Montgomery,Little Rock,11,,,0.0,4.25,4.25,1.6875,0.0,15.9953,27.0938,,0.0,0.0,0.087891,2,2057,0,5640,0.011902,0.75,-8.375,-4.875,4.25,9.125,119,True,121,5,0.000484,0.063477
alabama_birmingham__to__colorado_colorado_springs,alabama_birmingham,colorado_colorado_springs,Montgomery,Denver,11,2.0,,1.0,-10.1875,21.6133,7.25,31.8008,17.9078,31.2969,,2.0,2.0,0.129883,2,6,210939,364,0.001434,-25.8125,-19.5,-3.875,-10.1875,-6.3125,-210873,False,68,5,0.00132,0.063477
alabama_birmingham__to__connecticut_bridgeport,alabama_birmingham,connecticut_bridgeport,Montgomery,Hartford,11,2.0,,0.0,8.9375,18.375,1.75,9.4375,15.3193,26.0408,2.0,0.0,0.0,0.535156,1,379,2,750,7e-06,2.25,-11.5625,-4.875,8.9375,13.8125,118,True,121,5,0.000484,0.063477
alabama_birmingham__to__hawaii_hilo,alabama_birmingham,hawaii_hilo,Montgomery,Honolulu,11,3.0,,0.0,3.7812,10.875,4.375,7.0938,11.899,23.3516,3.0,3.0,3.0,0.398438,1,20,1528,208,0.009399,-7.0625,-19.7812,-8.9375,3.7812,12.7187,-637,True,892,5,8e-06,0.063477
alabama_birmingham__to__idaho_idaho_falls,alabama_birmingham,idaho_idaho_falls,Montgomery,Boise,11,,,0.0,0.9336,14.3203,7.0,13.3867,13.8318,23.4053,,4.0,4.0,0.041992,3,69,48307,2851,9e-06,-16.3281,-23.7617,-6.5,0.9336,7.4336,-48052,True,258,5,9.5e-05,0.063477
alabama_birmingham__to__illinois_chicago,alabama_birmingham,illinois_chicago,Montgomery,Springfield,11,0.0,,0.0,10.625,10.625,4.6875,0.0,10.625,19.3125,0.0,0.0,0.0,0.613281,1,1808,0,5589,0.000259,4.0,-12.125,-5.5,10.625,16.125,171,True,172,5,0.000259,0.063477
alabama_birmingham__to__iowa_cedar_rapids,alabama_birmingham,iowa_cedar_rapids,Montgomery,Des Moines,11,,,0.0,9.5625,9.5625,4.25,0.0,15.6343,25.9902,,,0.0,0.039307,6,4415,0,22860,0.014709,1.75,-15.1875,-7.375,9.5625,16.9375,427,True,433,5,4e-05,0.063477
alabama_birmingham__to__kansas_wichita,alabama_birmingham,kansas_wichita,Montgomery,Topeka,11,,,0.0,4.0625,15.625,6.125,11.5625,10.3682,19.8125,,3.0,3.0,0.06543,3,90,125,2118,0.000184,-6.625,-15.5625,-4.875,4.0625,8.9375,-7,True,121,5,0.000484,0.063477
alabama_birmingham__to__kentucky_louisville,alabama_birmingham,kentucky_louisville,Montgomery,Frankfort,11,,,0.0,7.0,8.875,8.875,1.875,11.4922,22.4688,,0.0,0.0,0.109863,2,112,0,19055,0.003967,-0.5,-11.5,-4.0,7.0,11.0,72,True,74,5,0.001167,0.063477
