condition,source,target,variant,hit_default,hit_msearch,hit_any,suppressed,n_ablate,n_amplify,n_total_features,m_tuned,msearch_phase,msearch_steps,duration_ms
human,maryland_baltimore,texas_dallas,add_city,0,0,0,1,68,0,68,,,,
human,maryland_baltimore,texas_dallas,add_state,0,0,0,1,62,6,68,,,,
human,maryland_baltimore,texas_dallas,add_state_capital,0,0,0,1,167,6,173,,,,
human,maryland_baltimore,texas_dallas,add_state_capital_city,1,0,1,1,235,6,241,,,,
human,maryland_baltimore,texas_dallas,add_state_city,0,0,0,1,130,6,136,,,,
human,massachusetts_worcester,texas_dallas,add_state,0,1,1,1,51,6,57,2.402249,1,4,
human,michigan_detroit,texas_dallas,add_state,1,0,1,1,72,6,78,,,,
human,minnesota_minneapolis,texas_dallas,add_state,1,0,1,1,51,6,57,,,,
human,mississippi_gulfport,texas_dallas,add_state,1,0,1,1,39,6,45,,,,
human,missouri_kansas_city,texas_dallas,add_capital,0,0,0,1,75,0,75,,,,
human,missouri_kansas_city,texas_dallas,add_city,0,0,0,1,53,0,53,,,,
human,missouri_kansas_city,texas_dallas,add_state,0,0,0,1,51,6,57,,,,
human,missouri_kansas_city,texas_dallas,add_state_capital,0,0,0,1,126,6,132,,,,
human,missouri_kansas_city,texas_dallas,add_state_city,1,0,1,1,104,6,110,,,,
human,montana_billings,texas_dallas,add_state,1,0,1,1,54,6,60,,,,
human,nebraska_omaha,texas_dallas,add_state,1,0,1,1,66,6,72,,,,
human,nevada_las_vegas,texas_dallas,add_state,1,0,1,1,56,6,62,,,,
human,new_hampshire_manchester,texas_dallas,add_state,0,1,1,1,38,6,44,6.931448,1,5,
human,new_jersey_newark,texas_dallas,add_state,0,1,1,1,137,6,143,2.402249,1,4,
human,new_mexico_albuquerque,texas_dallas,add_state,1,0,1,1,80,6,86,,,,
human,new_york_new_york_city,texas_dallas,add_capital,0,0,0,0,63,0,63,,,,
human,new_york_new_york_city,texas_dallas,add_capital_city,0,0,0,0,178,0,178,,,,
human,new_york_new_york_city,texas_dallas,add_city,0,0,0,0,115,0,115,,,,
human,new_york_new_york_city,texas_dallas,add_state,0,0,0,1,115,6,121,,,,
human,new_york_new_york_city,texas_dallas,add_state_capital,0,0,0,1,178,6,184,,,,
human,new_york_new_york_city,texas_dallas,add_state_capital_city,0,0,0,1,178,6,184,,,,
human,new_york_new_york_city,texas_dallas,add_state_city,0,0,0,1,115,6,121,,,,
human,north_carolina_charlotte,texas_dallas,add_capital,0,0,0,1,102,0,102,,,,
human,north_carolina_charlotte,texas_dallas,add_capital_city,0,0,0,1,174,0,174,,,,
human,north_carolina_charlotte,texas_dallas,add_city,0,0,0,0,72,0,72,,,,
human,north_carolina_charlotte,texas_dallas,add_state,0,0,0,1,85,6,91,,,,
human,north_carolina_charlotte,texas_dallas,add_state_capital,0,0,0,1,187,6,193,,,,
human,north_carolina_charlotte,texas_dallas,add_state_capital_city,0,0,0,1,259,6,265,,,,
human,north_carolina_charlotte,texas_dallas,add_state_city,0,0,0,0,157,6,163,,,,
human,north_dakota_fargo,texas_dallas,add_state,1,0,1,1,71,6,77,,,,
human,ohio_cleveland,texas_dallas,add_capital,0,0,0,1,98,0,98,,,,
human,ohio_cleveland,texas_dallas,add_city,0,0,0,0,63,0,63,,,,
human,ohio_cleveland,texas_dallas,add_state,0,0,0,0,55,6,61,,,,
human,ohio_cleveland,texas_dallas,add_state_capital,0,0,0,0,153,6,159,,,,
human,ohio_cleveland,texas_dallas,add_state_city,1,0,1,1,118,6,124,,,,
human,oklahoma_tulsa,texas_dallas,add_capital,0,0,0,1,144,0,144,,,,
human,oklahoma_tulsa,texas_dallas,add_capital_city,0,0,0,1,217,0,217,,,,
human,oklahoma_tulsa,texas_dallas,add_city,0,0,0,0,73,0,73,,,,
human,oklahoma_tulsa,texas_dallas,add_state,0,0,0,1,144,6,150,,,,
human,oklahoma_tulsa,texas_dallas,add_state_capital,0,0,0,1,144,6,150,,,,
human,oklahoma_tulsa,texas_dallas,add_state_capital_city,0,0,0,1,217,6,223,,,,
human,oklahoma_tulsa,texas_dallas,add_state_city,0,0,0,1,217,6,223,,,,
human,oregon_portland,texas_dallas,add_state,0,1,1,1,45,6,51,0.832553,1,3,
human,pennsylvania_philadelphia,texas_dallas,add_capital,0,0,0,1,92,0,92,,,,
human,pennsylvania_philadelphia,texas_dallas,add_city,0,0,0,0,63,0,63,,,,
human,pennsylvania_philadelphia,texas_dallas,add_state,0,0,0,1,59,6,65,,,,
human,pennsylvania_philadelphia,texas_dallas,add_state_capital,0,0,0,1,151,6,157,,,,
human,pennsylvania_philadelphia,texas_dallas,add_state_city,1,0,1,1,122,6,128,,,,
human,rhode_island_warwick,texas_dallas,add_state,0,1,1,1,67,6,73,6.931448,1,5,
human,south_carolina_charleston,texas_dallas,add_capital,0,0,0,1,117,0,117,,,,
human,south_carolina_charleston,texas_dallas,add_capital_city,0,0,0,1,177,0,177,,,,
human,south_carolina_charleston,texas_dallas,add_city,0,0,0,0,60,0,60,,,,
human,south_carolina_charleston,texas_dallas,add_state,0,0,0,1,70,6,76,,,,
human,south_carolina_charleston,texas_dallas,add_state_capital,0,0,0,1,187,6,193,,,,
human,south_carolina_charleston,texas_dallas,add_state_capital_city,0,0,0,1,247,6,253,,,,
human,south_carolina_charleston,texas_dallas,add_state_city,0,0,0,1,130,6,136,,,,
human,south_dakota_sioux_falls,texas_dallas,add_state,1,0,1,1,76,6,82,,,,
human,tennessee_memphis,texas_dallas,add_state,0,1,1,1,63,6,69,6.931448,1,5,
human,utah_provo,texas_dallas,add_state,1,0,1,1,51,6,57,,,,
human,vermont_burlington,texas_dallas,add_state,1,0,1,1,42,6,48,,,,
human,virginia_virginia_beach,texas_dallas,add_state,1,0,1,1,121,6,127,,,,
human,washington_seattle,texas_dallas,add_capital,0,0,0,1,87,0,87,,,,
human,washington_seattle,texas_dallas,add_capital_city,0,0,0,1,156,0,156,,,,
human,washington_seattle,texas_dallas,add_city,0,0,0,1,69,0,69,,,,
human,washington_seattle,texas_dallas,add_state,0,0,0,1,60,6,66,,,,
human,washington_seattle,texas_dallas,add_state_capital,0,0,0,1,147,6,153,,,,
human,washington_seattle,texas_dallas,add_state_capital_city,0,0,0,1,216,6,222,,,,
human,washington_seattle,texas_dallas,add_state_city,0,0,0,0,129,6,135,,,,
human,west_virginia_huntington,texas_dallas,add_state,1,0,1,1,75,6,81,,,,
human,wisconsin_milwaukee,texas_dallas,add_state,1,0,1,1,71,6,77,,,,
human,wyoming_casper,texas_dallas,add_capital,0,0,0,1,123,0,123,,,,
human,wyoming_casper,texas_dallas,add_capital_city,0,0,0,1,241,0,241,,,,
human,wyoming_casper,texas_dallas,add_city,0,0,0,0,118,0,118,,,,
human,wyoming_casper,texas_dallas,add_state,0,0,0,1,60,6,66,,,,
human,wyoming_casper,texas_dallas,add_state_capital,0,0,0,1,183,6,189,,,,
human,wyoming_casper,texas_dallas,add_state_capital_city,0,0,0,1,301,6,307,,,,
human,wyoming_casper,texas_dallas,add_state_city,0,0,0,1,178,6,184,,,,
auto,alabama_birmingham,texas_dallas,add_state,0,1,1,0,49,55,104,6.931448,1,5,
auto,alaska_anchorage,texas_dallas,add_capital,0,0,0,1,113,85,198,,,,
auto,alaska_anchorage,texas_dallas,add_city,0,0,0,0,83,71,154,,,,
auto,alaska_anchorage,texas_dallas,add_state,0,0,0,1,67,55,122,,,,
auto,alaska_anchorage,texas_dallas,add_state_capital,0,1,1,1,180,140,320,6.071531,2,9,
auto,arizona_tucson,texas_dallas,add_state,0,1,1,1,59,55,114,2.402249,1,4,
auto,arkansas_fayetteville,texas_dallas,add_state,0,1,1,1,52,55,107,4.080572,2,7,
auto,california_oakland,texas_dallas,add_state,0,1,1,1,50,55,105,2.402249,1,4,
auto,colorado_colorado_springs,texas_dallas,add_state,0,1,1,1,113,55,168,6.931448,1,5,
auto,connecticut_bridgeport,texas_dallas,add_state,0,1,1,1,62,55,117,6.931448,1,5,
auto,delaware_wilmington,texas_dallas,add_state,0,1,1,1,54,55,109,4.080572,2,7,
auto,florida_miami,texas_dallas,add_state,0,1,1,1,59,55,114,2.402249,1,4,
auto,georgia_savannah,texas_dallas,add_state,0,1,1,1,56,55,111,6.931448,1,5,
auto,hawaii_hilo,texas_dallas,add_state,0,1,1,1,73,55,128,4.080572,2,7,
auto,idaho_idaho_falls,texas_dallas,add_capital,0,0,0,1,102,85,187,,,,
auto,idaho_idaho_falls,texas_dallas,add_capital_city,0,0,0,1,432,156,588,,,,
auto,idaho_idaho_falls,texas_dallas,add_city,0,0,0,0,330,71,401,,,,
auto,idaho_idaho_falls,texas_dallas,add_state,0,0,0,0,102,55,157,,,,
auto,idaho_idaho_falls,texas_dallas,add_state_capital,0,0,0,1,204,140,344,,,,
auto,idaho_idaho_falls,texas_dallas,add_state_capital_city,0,0,0,1,534,211,745,,,,
auto,idaho_idaho_falls,texas_dallas,add_state_city,0,0,0,0,432,126,558,,,,
auto,illinois_chicago,texas_dallas,add_state,0,1,1,1,72,55,127,2.402249,1,4,
auto,indiana_fort_wayne,texas_dallas,add_capital,0,0,0,1,87,85,172,,,,
auto,indiana_fort_wayne,texas_dallas,add_city,0,0,0,0,326,71,397,,,,
auto,indiana_fort_wayne,texas_dallas,add_state,0,0,0,0,129,55,184,,,,
auto,indiana_fort_wayne,texas_dallas,add_state_capital,0,1,1,1,216,140,356,5.318296,2,8,
auto,iowa_cedar_rapids,texas_dallas,add_state,0,1,1,0,48,55,103,4.080572,2,7,
auto,kansas_wichita,texas_dallas,add_capital,0,0,0,1,111,85,196,,,,
auto,kansas_wichita,texas_dallas,add_city,0,0,0,0,70,71,141,,,,
auto,kansas_wichita,texas_dallas,add_state,0,0,0,1,61,55,116,,,,
auto,kansas_wichita,texas_dallas,add_state_capital,0,1,1,1,172,140,312,4.080572,2,7,
auto,kentucky_louisville,texas_dallas,add_state,0,1,1,1,64,55,119,6.931448,1,5,
auto,louisiana_new_orleans,texas_dallas,add_state,0,1,1,1,64,55,119,2.402249,1,4,
auto,maine_portland,texas_dallas,add_state,0,1,1,1,47,55,102,2.402249,1,4,
auto,maryland_baltimore,texas_dallas,add_state,0,1,1,1,62,55,117,4.080572,2,7,
auto,massachusetts_worcester,texas_dallas,add_state,0,1,1,1,51,55,106,6.931448,1,5,
auto,michigan_detroit,texas_dallas,add_state,0,1,1,1,72,55,127,4.080572,2,7,
auto,minnesota_minneapolis,texas_dallas,add_capital,0,0,0,1,110,85,195,,,,
auto,minnesota_minneapolis,texas_dallas,add_city,0,0,0,1,67,71,138,,,,
auto,minnesota_minneapolis,texas_dallas,add_state,0,0,0,1,51,55,106,,,,
auto,minnesota_minneapolis,texas_dallas,add_state_capital,0,1,1,1,161,140,301,2.402249,1,4,
auto,mississippi_gulfport,texas_dallas,add_capital,0,0,0,1,85,85,170,,,,
auto,mississippi_gulfport,texas_dallas,add_capital_city,0,0,0,1,413,156,569,,,,
auto,mississippi_gulfport,texas_dallas,add_city,0,0,0,1,328,71,399,,,,
auto,mississippi_gulfport,texas_dallas,add_state,0,0,0,1,39,55,94,,,,
auto,mississippi_gulfport,texas_dallas,add_state_capital,0,0,0,1,124,140,264,,,,
auto,mississippi_gulfport,texas_dallas,add_state_capital_city,0,0,0,1,452,211,663,,,,
auto,mississippi_gulfport,texas_dallas,add_state_city,0,0,0,1,367,126,493,,,,
auto,missouri_kansas_city,texas_dallas,add_capital,0,0,0,1,75,85,160,,,,
auto,missouri_kansas_city,texas_dallas,add_capital_city,0,0,0,1,128,156,284,,,,
auto,missouri_kansas_city,texas_dallas,add_city,0,0,0,1,53,71,124,,,,
auto,missouri_kansas_city,texas_dallas,add_state,0,0,0,1,51,55,106,,,,
auto,missouri_kansas_city,texas_dallas,add_state_capital,0,0,0,1,126,140,266,,,,
auto,missouri_kansas_city,texas_dallas,add_state_capital_city,0,0,0,1,179,211,390,,,,
auto,missouri_kansas_city,texas_dallas,add_state_city,0,0,0,1,104,126,230,,,,
auto,montana_billings,texas_dallas,add_capital,0,0,0,1,119,85,204,,,,
auto,montana_billings,texas_dallas,add_city,0,0,0,0,90,71,161,,,,
auto,montana_billings,texas_dallas,add_state,0,0,0,0,54,55,109,,,,
auto,montana_billings,texas_dallas,add_state_capital,0,1,1,1,173,140,313,2.402249,1,4,
auto,nebraska_omaha,texas_dallas,add_capital,0,0,0,0,107,85,192,,,,
auto,nebraska_omaha,texas_dallas,add_capital_city,0,0,0,1,176,156,332,,,,
auto,nebraska_omaha,texas_dallas,add_city,0,0,0,0,69,71,140,,,,
auto,nebraska_omaha,texas_dallas,add_state,0,0,0,1,66,55,121,,,,
auto,nebraska_omaha,texas_dallas,add_state_capital,0,0,0,1,173,140,313,,,,
auto,nebraska_omaha,texas_dallas,add_state_capital_city,0,0,0,0,242,211,453,,,,
auto,nebraska_omaha,texas_dallas,add_state_city,0,0,0,0,135,126,261,,,,
auto,nevada_las_vegas,texas_dallas,add_capital,0,0,0,1,86,85,171,,,,
auto,nevada_las_vegas,texas_dallas,add_city,0,0,0,1,136,71,207,,,,
auto,nevada_las_vegas,texas_dallas,add_state,0,0,0,1,56,55,111,,,,
auto,nevada_las_vegas,texas_dallas,add_state_capital,0,0,0,1,142,140,282,,,,
auto,nevada_las_vegas,texas_dallas,add_state_city,0,1,1,1,192,126,318,6.931448,1,5,
