from_slug,to_slug,winning_variant,used_m_tuned,hit,best_gap,n_ablate_labeled,n_amplify_labeled,n_ablate_in_features_json,n_amplify_in_features_json,ref_sum_src,ref_sum_tgt,src_total_influence,tgt_total_influence
alabama_birmingham,utah_provo,add_state_capital,0,1,23.734400,36,48,36,48,0.043793,0.088992,0.353255,0.354970
alabama_birmingham,vermont_burlington,add_state,0,0,5.976600,10,8,10,8,0.015212,0.008588,0.353255,0.370668
alabama_birmingham,virginia_virginia_beach,add_state_capital,0,0,13.515600,36,75,36,75,0.043793,0.106594,0.353255,0.381697
alabama_birmingham,washington_seattle,add_capital_city,0,0,9.437500,52,59,52,59,0.050107,0.111278,0.353255,0.391392
alabama_birmingham,west_virginia_huntington,add_state,0,0,8.000900,10,13,10,13,0.015212,0.019790,0.353255,0.379138
alabama_birmingham,wisconsin_milwaukee,add_state_capital,0,1,13.492200,36,55,36,55,0.043793,0.093327,0.353255,0.370787
alabama_birmingham,wyoming_casper,add_state_capital_city,0,0,16.328100,62,99,62,99,0.065319,0.122263,0.353255,0.366403
alaska_anchorage,alabama_birmingham,add_state_capital,0,1,20.355500,50,36,50,36,0.081949,0.043793,0.365723,0.353255
alaska_anchorage,alaska_anchorage,add_city,0,1,0.000000,37,0,37,0,0.037551,0.000000,0.365723,0.365723
alaska_anchorage,arizona_tucson,add_state_city,0,1,28.312500,54,52,54,52,0.075674,0.076868,0.365723,0.365156
alaska_anchorage,arkansas_fayetteville,add_capital_city,0,1,28.687500,70,60,70,60,0.081378,0.079819,0.365723,0.373812
alaska_anchorage,california_oakland,add_state,0,1,23.195300,17,10,17,10,0.038122,0.022923,0.365723,0.373302
alaska_anchorage,colorado_colorado_springs,add_state_capital,0,1,22.486300,50,74,50,74,0.081949,0.113505,0.365723,0.374099
alaska_anchorage,connecticut_bridgeport,add_state_capital,0,1,22.156200,50,44,50,44,0.081949,0.075791,0.365723,0.364609
alaska_anchorage,delaware_wilmington,add_state_capital,1,1,12.968800,0,97,50,47,0.081949,0.070364,0.365723,0.379447
alaska_anchorage,florida_miami,add_state_capital,0,1,19.448200,50,41,50,41,0.081949,0.088079,0.365723,0.367858
alaska_anchorage,georgia_savannah,add_state_capital,0,1,20.601600,50,41,50,41,0.081949,0.076556,0.365723,0.370304
alaska_anchorage,hawaii_hilo,add_state_capital_city,0,1,22.175800,87,85,87,85,0.119501,0.128488,0.365723,0.357737
alaska_anchorage,idaho_idaho_falls,add_state_city,0,1,17.921900,54,125,54,125,0.075674,0.170058,0.365723,0.379189
alaska_anchorage,illinois_chicago,add_state_capital,0,1,29.812500,50,42,50,42,0.081949,0.065123,0.365723,0.367203
alaska_anchorage,indiana_fort_wayne,add_state_capital,0,1,15.445300,50,74,50,74,0.081949,0.093249,0.365723,0.391159
alaska_anchorage,iowa_cedar_rapids,add_state,0,1,15.750000,17,10,17,10,0.038122,0.022024,0.365723,0.394939
alaska_anchorage,kansas_wichita,add_state_capital,1,1,14.718800,0,113,50,63,0.081949,0.086975,0.365723,0.358014
alaska_anchorage,kentucky_louisville,add_capital,0,1,19.375000,33,37,33,37,0.043827,0.062804,0.365723,0.370874
alaska_anchorage,louisiana_new_orleans,add_state_capital,0,1,17.718800,50,49,50,49,0.081949,0.089234,0.365723,0.374783
alaska_anchorage,maine_portland,add_state,0,0,17.843800,17,10,17,10,0.038122,0.013432,0.365723,0.372282
alaska_anchorage,maryland_baltimore,add_state_capital,0,1,15.312500,50,50,50,50,0.081949,0.079744,0.365723,0.368646
alaska_anchorage,massachusetts_worcester,add_state_capital,0,1,17.937500,50,47,50,47,0.081949,0.063873,0.365723,0.352601
alaska_anchorage,michigan_detroit,add_state,0,1,19.750000,17,12,17,12,0.038122,0.037074,0.365723,0.386487
alaska_anchorage,minnesota_minneapolis,add_capital,0,1,23.257800,33,40,33,40,0.043827,0.073308,0.365723,0.370028
alaska_anchorage,mississippi_gulfport,add_capital,0,1,17.312500,33,29,33,29,0.043827,0.036239,0.365723,0.384483
alaska_anchorage,missouri_kansas_city,add_capital,0,1,17.781200,33,36,33,36,0.043827,0.053523,0.365723,0.369270
alaska_anchorage,montana_billings,add_state,0,0,18.656200,17,12,17,12,0.038122,0.023931,0.365723,0.383869
alaska_anchorage,nebraska_omaha,add_state_capital,0,1,20.007800,50,62,50,62,0.081949,0.100701,0.365723,0.370031
alaska_anchorage,nevada_las_vegas,add_state_capital,0,1,17.062500,50,51,50,51,0.081949,0.068910,0.365723,0.366517
alaska_anchorage,new_hampshire_manchester,add_state_capital,0,0,8.125000,50,27,50,27,0.081949,0.032231,0.365723,0.352572
alaska_anchorage,new_jersey_newark,add_state_capital,0,1,25.718800,50,64,50,64,0.081949,0.093547,0.365723,0.369477
alaska_anchorage,new_mexico_albuquerque,add_capital,0,1,16.156200,33,38,33,38,0.043827,0.067149,0.365723,0.379016
alaska_anchorage,new_york_new_york_city,add_capital_city,0,1,12.812500,70,68,70,68,0.081378,0.078929,0.365723,0.365365
alaska_anchorage,north_carolina_charlotte,add_capital,0,0,14.390600,33,35,33,35,0.043827,0.058635,0.365723,0.382753
alaska_anchorage,north_dakota_fargo,add_state_capital_city,0,0,26.625000,87,92,87,92,0.119501,0.119191,0.365723,0.361384
alaska_anchorage,ohio_cleveland,add_state,0,1,18.953100,17,11,17,11,0.038122,0.024335,0.365723,0.364836
alaska_anchorage,oklahoma_tulsa,add_state_capital_city,0,0,20.992200,87,73,87,73,0.119501,0.117384,0.365723,0.361343
alaska_anchorage,oregon_portland,add_state_capital,0,1,17.531200,50,42,50,42,0.081949,0.068109,0.365723,0.372729
alaska_anchorage,pennsylvania_philadelphia,add_state_capital,0,1,22.812500,50,49,50,49,0.081949,0.078236,0.365723,0.376081
alaska_anchorage,rhode_island_warwick,add_city,0,0,16.750000,37,37,37,37,0.037551,0.029111,0.365723,0.355691
alaska_anchorage,south_carolina_charleston,add_state_capital_city,0,1,24.765600,87,71,87,71,0.119501,0.097522,0.365723,0.377861
alaska_anchorage,south_dakota_sioux_falls,add_state_capital_city,0,1,15.500000,87,141,87,141,0.119501,0.136498,0.365723,0.375499
alaska_anchorage,tennessee_memphis,add_state,0,0,18.828100,17,13,17,13,0.038122,0.027131,0.365723,0.355138
alaska_anchorage,texas_dallas,add_state_capital,0,1,15.531200,50,49,50,49,0.081949,0.088835,0.365723,0.363766
alaska_anchorage,utah_provo,add_state_city,0,1,21.523400,54,60,54,60,0.075674,0.074732,0.365723,0.354970
alaska_anchorage,vermont_burlington,add_state,0,0,16.171900,17,8,17,8,0.038122,0.008588,0.365723,0.370668
alaska_anchorage,virginia_virginia_beach,add_state_capital,0,1,15.687500,50,75,50,75,0.081949,0.106594,0.365723,0.381697
alaska_anchorage,washington_seattle,add_state_capital,0,1,12.687500,50,33,50,33,0.081949,0.063193,0.365723,0.391392
alaska_anchorage,west_virginia_huntington,add_state,0,0,10.437500,17,13,17,13,0.038122,0.019790,0.365723,0.379138
alaska_anchorage,wisconsin_milwaukee,add_state_capital,0,1,10.937500,50,55,50,55,0.081949,0.093327,0.365723,0.370787
alaska_anchorage,wyoming_casper,add_state_capital_city,0,1,29.000000,87,99,87,99,0.119501,0.122263,0.365723,0.366403
arizona_tucson,alabama_birmingham,add_state_capital,0,1,12.187500,47,36,47,36,0.089540,0.043793,0.365156,0.353255
arizona_tucson,alaska_anchorage,add_state,0,0,12.375000,16,17,16,17,0.049031,0.038122,0.365156,0.365723
arizona_tucson,arizona_tucson,add_city,0,1,0.000000,36,0,36,0,0.027837,0.000000,0.365156,0.365156
arizona_tucson,arkansas_fayetteville,add_capital_city,0,1,14.312500,67,60,67,60,0.068347,0.079819,0.365156,0.373812
arizona_tucson,california_oakland,add_state_capital,0,1,12.062500,47,37,47,37,0.089540,0.069181,0.365156,0.373302
arizona_tucson,colorado_colorado_springs,add_state_capital,0,1,18.796900,47,74,47,74,0.089540,0.113505,0.365156,0.374099
arizona_tucson,connecticut_bridgeport,add_state_capital_city,0,1,17.484400,83,79,83,79,0.117378,0.107643,0.365156,0.364609
arizona_tucson,delaware_wilmington,add_state_capital,1,1,7.625000,0,94,47,47,0.089540,0.070364,0.365156,0.379447
arizona_tucson,florida_miami,add_state_capital_city,0,1,21.109400,83,66,83,66,0.117378,0.113740,0.365156,0.367858
arizona_tucson,georgia_savannah,add_capital_city,0,0,18.718800,67,63,67,63,0.068347,0.086689,0.365156,0.370304
arizona_tucson,hawaii_hilo,add_state_capital,0,1,15.875000,47,40,47,40,0.089540,0.084043,0.365156,0.357737
arizona_tucson,idaho_idaho_falls,add_state_capital,0,0,9.609400,47,81,47,81,0.089540,0.106154,0.365156,0.379189
arizona_tucson,illinois_chicago,add_state_capital,0,1,11.054700,47,42,47,42,0.089540,0.065123,0.365156,0.367203
arizona_tucson,indiana_fort_wayne,add_state_capital,0,1,9.625000,47,74,47,74,0.089540,0.093249,0.365156,0.391159
arizona_tucson,iowa_cedar_rapids,add_state,0,1,20.250000,16,10,16,10,0.049031,0.022024,0.365156,0.394939
arizona_tucson,kansas_wichita,add_state_capital,0,0,16.468700,47,63,47,63,0.089540,0.086975,0.365156,0.358014
arizona_tucson,kentucky_louisville,add_state_capital,0,1,16.687500,47,58,47,58,0.089540,0.092928,0.365156,0.370874
arizona_tucson,louisiana_new_orleans,add_state_capital,0,1,14.078100,47,49,47,49,0.089540,0.089234,0.365156,0.374783
arizona_tucson,maine_portland,add_capital,0,0,5.734400,31,31,31,31,0.040510,0.045359,0.365156,0.372282
arizona_tucson,maryland_baltimore,add_state_capital_city,0,0,15.796900,83,83,83,83,0.117378,0.124632,0.365156,0.368646
arizona_tucson,massachusetts_worcester,add_state_capital,0,1,15.156200,47,47,47,47,0.089540,0.063873,0.365156,0.352601
arizona_tucson,michigan_detroit,add_state_capital,0,1,11.937500,47,51,47,51,0.089540,0.101160,0.365156,0.386487
arizona_tucson,minnesota_minneapolis,add_state_capital,0,1,12.187500,47,55,47,55,0.089540,0.096128,0.365156,0.370028
arizona_tucson,mississippi_gulfport,add_capital,0,0,13.343800,31,29,31,29,0.040510,0.036239,0.365156,0.384483
arizona_tucson,missouri_kansas_city,add_capital,0,1,11.000000,31,36,31,36,0.040510,0.053523,0.365156,0.369270
arizona_tucson,montana_billings,add_state_capital,0,1,10.937500,47,53,47,53,0.089540,0.082644,0.365156,0.383869
arizona_tucson,nebraska_omaha,add_state_capital,0,1,10.562500,47,62,47,62,0.089540,0.100701,0.365156,0.370031
arizona_tucson,nevada_las_vegas,add_state,0,0,14.625000,16,14,16,14,0.049031,0.026715,0.365156,0.366517
arizona_tucson,new_hampshire_manchester,add_city,0,0,4.476600,36,27,36,27,0.027837,0.026777,0.365156,0.352572
arizona_tucson,new_jersey_newark,add_capital,0,0,6.187500,31,28,31,28,0.040510,0.049390,0.365156,0.369477
arizona_tucson,new_mexico_albuquerque,add_capital,0,1,10.437500,31,38,31,38,0.040510,0.067149,0.365156,0.379016
arizona_tucson,new_york_new_york_city,add_capital,0,1,11.062500,31,28,31,28,0.040510,0.042818,0.365156,0.365365
arizona_tucson,north_carolina_charlotte,add_capital_city,0,0,9.390600,67,69,67,69,0.068347,0.090627,0.365156,0.382753
arizona_tucson,north_dakota_fargo,add_state_capital_city,0,0,12.218800,83,92,83,92,0.117378,0.119191,0.365156,0.361384
arizona_tucson,ohio_cleveland,add_state,0,1,7.906200,16,11,16,11,0.049031,0.024335,0.365156,0.364836
arizona_tucson,oklahoma_tulsa,add_state_capital_city,0,0,19.365200,83,73,83,73,0.117378,0.117384,0.365156,0.361343
arizona_tucson,oregon_portland,add_state_capital,0,1,11.312500,47,42,47,42,0.089540,0.068109,0.365156,0.372729
arizona_tucson,pennsylvania_philadelphia,add_state_capital,0,1,8.000000,47,49,47,49,0.089540,0.078236,0.365156,0.376081
arizona_tucson,rhode_island_warwick,add_state_capital,0,0,9.328100,47,33,47,33,0.089540,0.043826,0.365156,0.355691
arizona_tucson,south_carolina_charleston,add_state_capital_city,0,1,19.156200,83,71,83,71,0.117378,0.097522,0.365156,0.377861
arizona_tucson,south_dakota_sioux_falls,add_state_capital_city,0,1,14.406200,83,141,83,141,0.117378,0.136498,0.365156,0.375499
arizona_tucson,tennessee_memphis,add_state_capital,0,0,7.250000,47,45,47,45,0.089540,0.066425,0.365156,0.355138
arizona_tucson,texas_dallas,add_state_capital,0,0,14.500000,47,49,47,49,0.089540,0.088835,0.365156,0.363766
arizona_tucson,utah_provo,add_state_city,0,1,15.562500,52,60,52,60,0.076868,0.074732,0.365156,0.354970
arizona_tucson,vermont_burlington,add_state,0,0,8.500000,16,8,16,8,0.049031,0.008588,0.365156,0.370668
arizona_tucson,virginia_virginia_beach,add_state_capital,0,1,11.687500,47,75,47,75,0.089540,0.106594,0.365156,0.381697
arizona_tucson,washington_seattle,add_state_capital,0,1,16.390600,47,33,47,33,0.089540,0.063193,0.365156,0.391392
arizona_tucson,west_virginia_huntington,add_state,0,1,27.687500,16,13,16,13,0.049031,0.019790,0.365156,0.379138
arizona_tucson,wisconsin_milwaukee,add_state,0,1,20.546900,16,17,16,17,0.049031,0.036338,0.365156,0.370787
arizona_tucson,wyoming_casper,add_state_capital_city,0,1,15.437500,83,99,83,99,0.117378,0.122263,0.365156,0.366403
arkansas_fayetteville,alabama_birmingham,add_state_capital,0,1,7.437500,46,36,46,36,0.068380,0.043793,0.373812,0.353255
arkansas_fayetteville,alaska_anchorage,add_state_capital,0,0,11.125000,46,50,46,50,0.068380,0.081949,0.373812,0.365723
arkansas_fayetteville,arizona_tucson,add_state,0,1,10.390600,9,16,9,16,0.008877,0.049031,0.373812,0.365156
arkansas_fayetteville,arkansas_fayetteville,add_capital,0,0,0.000000,37,0,37,0,0.059502,0.000000,0.373812,0.373812
arkansas_fayetteville,california_oakland,add_state_capital,0,1,14.750000,46,37,46,37,0.068380,0.069181,0.373812,0.373302
arkansas_fayetteville,colorado_colorado_springs,add_state_capital,0,1,17.406200,46,74,46,74,0.068380,0.113505,0.373812,0.374099
arkansas_fayetteville,connecticut_bridgeport,add_capital,0,1,17.953100,37,31,37,31,0.059502,0.047106,0.373812,0.364609
arkansas_fayetteville,delaware_wilmington,add_capital,0,0,9.187500,37,36,37,36,0.059502,0.058886,0.373812,0.379447
arkansas_fayetteville,florida_miami,add_capital,0,1,20.468800,37,32,37,32,0.059502,0.060192,0.373812,0.367858
arkansas_fayetteville,georgia_savannah,add_state_capital_city,0,1,7.375000,69,73,69,73,0.088696,0.104021,0.373812,0.370304
arkansas_fayetteville,hawaii_hilo,add_state_city,0,1,13.445300,32,57,32,57,0.029194,0.090558,0.373812,0.357737
arkansas_fayetteville,idaho_idaho_falls,add_state_capital_city,0,1,8.468800,69,169,69,169,0.088696,0.210297,0.373812,0.379189
arkansas_fayetteville,illinois_chicago,add_state_capital,0,1,10.203100,46,42,46,42,0.068380,0.065123,0.373812,0.367203
arkansas_fayetteville,indiana_fort_wayne,add_state_capital,0,1,17.125000,46,74,46,74,0.068380,0.093249,0.373812,0.391159
arkansas_fayetteville,iowa_cedar_rapids,add_state,0,1,16.875000,9,10,9,10,0.008877,0.022024,0.373812,0.394939
