dataset,entity,feature_key,layer,feature,peak_consistency_main,n_distinct_peaks,main_peak_token,func_vs_sem_pct,conf_F,conf_S,share_F,sparsity_median,K_sem_distinct,n_active_prompts,n_prompts,pred_label,subtype,review
usa_states_batch,alabama_Birmingham,0_95475,0,95475,0.4,4,city,-100.0,0.0,1.0,0.0,0.6360819139573014,4,5,5,Semantic,Dictionary (fallback),False
usa_states_batch,alabama_Birmingham,0_18753,0,18753,1.0,1,",",100.0,1.0,0.0,1.0,0.6607469209113763,0,5,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_39122,0,39122,1.0,1,",",100.0,1.0,0.0,1.0,0.7674993958550042,0,5,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_2161,0,2161,1.0,1,",",100.0,1.0,0.0,1.0,0.8376530128333378,0,5,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_32742,0,32742,1.0,1,alabama,-100.0,0.0,1.0,0.0,0.8888888888888888,3,3,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_40780,0,40780,0.5,3,is,100.0,1.0,0.0,1.0,0.6377692627905046,0,5,5,Semantic,Dictionary (fallback),False
usa_states_batch,alabama_Birmingham,0_54198,0,54198,0.5,2,a,100.0,1.0,0.0,1.0,0.9045454545454545,1,4,5,Semantic,Dictionary (fallback),False
usa_states_batch,alabama_Birmingham,0_5200,0,5200,0.8333333333333334,1,is,100.0,1.0,0.0,1.0,0.9,0,5,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_91045,0,91045,0.8333333333333334,1,is,100.0,1.0,0.0,1.0,0.9,0,5,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_95057,0,95057,0.0,0,major,100.0,1.0,0.0,1.0,0.6669642060038331,0,5,5,Semantic,Dictionary (fallback),False
usa_states_batch,alabama_Birmingham,0_230,0,230,0.8333333333333334,1,is,100.0,1.0,0.0,1.0,0.8999999999999999,0,5,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_49560,0,49560,0.8333333333333334,1,is,100.0,1.0,0.0,1.0,0.8999999999999999,0,5,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_98149,0,98149,0.25,1,state,-100.0,0.0,1.0,0.0,0.8098780102873424,3,5,5,Semantic,Dictionary (fallback),False
usa_states_batch,alabama_Birmingham,0_61562,0,61562,1.0,1,of,100.0,1.0,0.0,1.0,0.9166666666666667,2,2,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_44634,0,44634,0.0,0,major,-100.0,0.0,1.0,0.0,0.9090909090909092,3,5,5,Semantic,Dictionary (fallback),False
usa_states_batch,alabama_Birmingham,0_32432,0,32432,1.0,1,birmingham,-100.0,0.0,1.0,0.0,0.9090909090909092,4,1,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_19204,0,19204,0.0,0,major,0.0,0.0,1.0,0.0,0.0,3,0,5,Relationship,,False
usa_states_batch,alabama_Birmingham,0_39374,0,39374,0.8333333333333334,1,is,100.0,1.0,0.0,1.0,0.8999999999999999,0,5,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_17761,0,17761,1.0,1,birmingham,-100.0,0.0,1.0,0.0,0.9090909090909092,4,1,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_6727,0,6727,1.0,1,birmingham,-100.0,0.0,1.0,0.0,0.9090909090909092,4,1,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_3730,0,3730,1.0,1,alabama,-100.0,0.0,1.0,0.0,0.8888888888888888,3,3,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_66720,0,66720,1.0,1,birmingham,-100.0,0.0,1.0,0.0,0.9090909090909092,4,1,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_76137,0,76137,1.0,1,alabama,-100.0,0.0,1.0,0.0,0.888888888888889,3,3,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_90502,0,90502,1.0,1,birmingham,-100.0,0.0,1.0,0.0,0.9090909090909092,4,1,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_91570,0,91570,0.0,0,major,-100.0,0.0,1.0,0.0,0.9090909090909092,3,5,5,Semantic,Dictionary (fallback),False
usa_states_batch,alabama_Birmingham,0_46002,0,46002,1.0,1,birmingham,-100.0,0.0,1.0,0.0,0.9090909090909092,4,1,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_22629,0,22629,1.0,1,birmingham,-100.0,0.0,1.0,0.0,0.9090909090909092,4,1,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_79529,0,79529,0.8333333333333334,1,is,100.0,1.0,0.0,1.0,0.9090909090909092,0,5,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_35278,0,35278,1.0,1,birmingham,-100.0,0.0,1.0,0.0,0.9090909090909092,4,1,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_37667,0,37667,0.0,0,major,0.0,0.0,1.0,0.0,0.0,3,0,5,Relationship,,False
usa_states_batch,alabama_Birmingham,0_9946,0,9946,1.0,1,birmingham,-100.0,0.0,1.0,0.0,0.9090909090909092,4,1,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_13844,0,13844,0.6666666666666666,2,alabama,-100.0,0.0,1.0,0.0,0.888888888888889,4,3,5,Semantic,Dictionary (fallback),False
usa_states_batch,alabama_Birmingham,0_81830,0,81830,0.5,1,is,100.0,1.0,0.0,1.0,0.9,2,3,5,Semantic,Dictionary (fallback),False
usa_states_batch,alabama_Birmingham,0_47052,0,47052,1.0,1,birmingham,-100.0,0.0,1.0,0.0,0.9090909090909092,4,1,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_74348,0,74348,1.0,1,birmingham,-100.0,0.0,1.0,0.0,0.9090909090909092,4,1,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_21930,0,21930,1.0,1,birmingham,-100.0,0.0,1.0,0.0,0.9090909090909092,4,1,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_92029,0,92029,0.42857142857142855,1,the,100.0,1.0,0.0,1.0,0.8995878960561728,1,3,5,Semantic,Dictionary (fallback),False
usa_states_batch,alabama_Birmingham,0_25002,0,25002,1.0,1,birmingham,-100.0,0.0,1.0,0.0,0.9090909090909092,4,1,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_37452,0,37452,1.0,1,birmingham,-100.0,0.0,1.0,0.0,0.9090909090909092,4,1,5,Semantic,Dictionary,False
usa_states_batch,alabama_Birmingham,0_56904,0,56904,0.5,1,is,100.0,1.0,0.0,1.0,0.9,2,3,5,Semantic,Dictionary (fallback),False
usa_states_batch,alabama_Birmingham,0_20368,0,20368,0.16666666666666666,2,is,-41.482971167451325,0.5,0.5,0.5,0.9073618808473838,2,2,5,Semantic,Dictionary (fallback),False
usa_states_batch,alabama_Birmingham,0_60256,0,60256,1.0,1,containing,-100.0,0.0,1.0,0.0,0.9285714285714286,3,1,5,Semantic,Dictionary,False
