domain,from_slug,to_slug,is_identity,K_src,K_tgt,ref_sum_src,ref_sum_tgt,achieved_sum_src,achieved_sum_tgt,ablate_count,amplify_count,hit_default,hit_m_tuned,best_hit,has_m_tuned,m_tuned_value,m_tuned_steps,from_suppressed_default,best_gap_default,gap_closure_default,vs_max_default,vs_topk_default,labeled_winning_variant,labeled_used_m_tuned,labeled_hit,labeled_best_gap,labeled_n_ablate,labeled_n_amplify,labeled_ref_sum_src,labeled_ref_sum_tgt
usa,alabama_birmingham,alabama_birmingham,1,3,0,0.021526,0.0,0.028834462165832304,0.0,3,0,0,,0,0,,,1,0.0,0.0,0.125,0.3333,add_city,0,1,0.0,26,0,0.021526,0.0
usa,alabama_birmingham,alaska_anchorage,0,2,4,0.015212,0.038122,0.019677132368087602,0.0404727160930631,2,4,0,,0,0,,,1,14.1875,0.0,2.875,3.5417,add_state,0,0,9.2344,10,17,0.015212,0.038122
usa,alabama_birmingham,arizona_tucson,0,4,9,0.036738,0.076868,0.03782200813293431,0.079487562179565,4,9,0,,0,0,,,1,1.0625,0.0,-4.5,-2.0,add_state_city,0,1,14.5,36,52,0.036738,0.076868
usa,alabama_birmingham,arkansas_fayetteville,0,6,12,0.050107,0.079819,0.054197490215301104,0.08001402020454342,6,12,0,,0,0,,,1,-1.625,1.1875,-3.125,-1.1875,add_capital_city,0,1,9.0,52,60,0.050107,0.079819
usa,alabama_birmingham,california_oakland,0,5,10,0.043793,0.069181,0.046468943357467304,0.0726096034049982,5,10,0,,0,0,,,1,1.4375,0.0,-6.625,-6.4167,add_state_capital,0,1,14.0625,36,37,0.043793,0.069181
usa,alabama_birmingham,colorado_colorado_springs,0,5,21,0.043793,0.113505,0.046468943357467304,0.11549842357635401,5,21,0,,0,0,,,1,-2.125,7.515599999999999,-6.0,-3.7083,add_state_capital,0,1,21.6787,36,74,0.043793,0.113505
usa,alabama_birmingham,connecticut_bridgeport,0,5,12,0.043793,0.075791,0.046468943357467304,0.0762817561626429,5,12,0,,0,0,,,1,5.25,0.0,-3.5,-3.3333,add_state_capital,0,1,18.5,36,44,0.043793,0.075791
usa,alabama_birmingham,delaware_wilmington,0,2,2,0.015212,0.011477,0.019677132368087602,0.0199696123600005,2,2,0,,0,0,,,0,-3.9375,0.0,-6.3125,-5.5417,add_state,0,0,21.2813,10,11,0.015212,0.011477
usa,alabama_birmingham,florida_miami,0,8,21,0.065319,0.11374,0.0689810514450068,0.1156351566314687,8,21,0,,0,0,,,1,3.375,0.0,-3.25,-1.1458,add_state_capital_city,0,1,21.8516,62,66,0.065319,0.11374
usa,alabama_birmingham,georgia_savannah,0,5,10,0.043793,0.076556,0.046468943357467304,0.0765593945980068,5,10,0,1,1,1,0.28854,2,1,1.125,0.0,-3.0,-0.7708,add_state_capital,0,1,19.9141,36,41,0.043793,0.076556
usa,alabama_birmingham,hawaii_hilo,0,8,27,0.065319,0.128488,0.0689810514450068,0.1302779316902146,8,27,0,,0,0,,,1,6.875,0.0,-2.625,-1.9167,add_state_capital_city,0,1,14.5547,62,85,0.065319,0.128488
usa,alabama_birmingham,idaho_idaho_falls,0,2,10,0.015212,0.065915,0.019677132368087602,0.067747831344604,2,10,0,,0,0,,,1,4.25,0.0,-3.5,-3.0833,add_state,0,1,11.1875,10,37,0.015212,0.065915
usa,alabama_birmingham,illinois_chicago,0,2,4,0.015212,0.029039,0.019677132368087602,0.033512353897094595,2,4,0,,0,0,,,1,2.375,0.0,-1.8125,-1.4375,add_state,0,1,14.125,10,14,0.015212,0.029039
usa,alabama_birmingham,indiana_fort_wayne,0,5,18,0.043793,0.093249,0.046468943357467304,0.09352511167526162,5,18,0,,0,0,,,1,4.0,0.0,-3.625,-3.375,add_state_capital,0,0,13.5,36,74,0.043793,0.093249
usa,alabama_birmingham,iowa_cedar_rapids,0,2,2,0.015212,0.022024,0.019677132368087602,0.023174256086349397,2,2,0,,0,0,,,1,15.4844,0.0,4.0,7.3437,add_state,0,1,16.9688,10,10,0.015212,0.022024
usa,alabama_birmingham,kansas_wichita,0,5,13,0.043793,0.086975,0.046468943357467304,0.0885746479034418,5,13,0,,0,0,,,1,5.9375,0.0,-3.0,-0.7292,add_state_capital,0,0,15.5937,36,63,0.043793,0.086975
usa,alabama_birmingham,kentucky_louisville,0,3,11,0.028581,0.062804,0.028834462165832304,0.0660930871963495,3,11,0,,0,0,,,1,5.875,0.0,-0.75,-0.5833,add_capital,0,1,7.75,26,37,0.028581,0.062804
usa,alabama_birmingham,louisiana_new_orleans,0,5,12,0.043793,0.089234,0.046468943357467304,0.09012401103973329,5,12,0,,0,0,,,1,5.0,0.0,-3.125,-2.3958,add_state_capital,0,1,15.9844,36,49,0.043793,0.089234
usa,alabama_birmingham,maine_portland,0,2,2,0.015212,0.013432,0.019677132368087602,0.0203711092472076,2,2,0,,0,0,,,0,-0.625,0.0,-1.625,-0.4583,add_state,0,0,10.8398,10,10,0.015212,0.013432
usa,alabama_birmingham,maryland_baltimore,0,6,16,0.050107,0.102851,0.054197490215301104,0.10306024551391543,6,16,0,,0,0,,,1,0.5625,0.0,-6.5,-5.5833,add_capital_city,1,1,1.0,0,122,0.050107,0.102851
usa,alabama_birmingham,massachusetts_worcester,0,2,3,0.015212,0.020158,0.019677132368087602,0.0265773832798002,2,3,0,,0,0,,,0,-2.8125,0.0,-4.125,-3.0,add_state,0,1,13.4062,10,13,0.015212,0.020158
usa,alabama_birmingham,michigan_detroit,0,2,3,0.015212,0.037074,0.019677132368087602,0.0378794670104979,2,3,0,,0,0,,,1,1.9375,0.0,-1.125,-0.1667,add_state,0,1,8.9375,10,12,0.015212,0.037074
usa,alabama_birmingham,minnesota_minneapolis,0,5,15,0.043793,0.096128,0.046468943357467304,0.09840816259384082,5,15,0,,0,0,,,1,0.75,0.3125,-3.375,-0.8333,add_state_capital,0,1,14.125,36,55,0.043793,0.096128
usa,alabama_birmingham,mississippi_gulfport,0,5,6,0.043793,0.042389,0.046468943357467304,0.046865552663802795,5,6,0,,0,0,,,1,-0.625,2.625,-2.0,-1.75,add_state_capital,0,1,14.625,36,36,0.043793,0.042389
usa,alabama_birmingham,missouri_kansas_city,0,5,8,0.043793,0.062751,0.046468943357467304,0.0628286302089686,5,8,0,,0,0,,,1,6.5,5.5,6.5625,7.0833,add_state_capital,0,0,6.0625,36,46,0.043793,0.062751
usa,alabama_birmingham,montana_billings,0,5,11,0.043793,0.082644,0.046468943357467304,0.08686575293540902,5,11,0,,0,0,,,1,8.375,0.0,1.125,1.375,add_state_capital,0,1,10.25,36,53,0.043793,0.082644
usa,alabama_birmingham,nebraska_omaha,0,8,30,0.065319,0.129439,0.0689810514450068,0.1310959458351123,8,30,0,,0,0,,,1,5.8281,2.7656,0.0,0.5782,add_state_capital_city,0,1,22.3594,62,95,0.065319,0.129439
usa,alabama_birmingham,nevada_las_vegas,0,4,10,0.036738,0.068532,0.03782200813293431,0.0726086497306817,4,10,0,,0,0,,,1,1.375,0.0,-5.75,-3.2917,add_state_city,0,0,16.625,36,63,0.036738,0.068532
usa,alabama_birmingham,new_hampshire_manchester,0,3,3,0.021526,0.026777,0.028834462165832304,0.0272687971591948,3,3,0,,0,0,,,1,2.9375,0.0,-6.5,-5.5208,add_city,0,0,8.2891,26,27,0.021526,0.026777
