dataset,n_states,median_n_features,min_n_features,max_n_features,median_cum_influence,median_frac_of_graph
usa_states_batch,50,222,200,327,0.3058,0.4377
usa_states_fact_batch,7,1192,246,1267,0.393,0.5524
