dataset,n_entities,G_Repl,S_Repl,G_Comp,S_Comp,mean_pinned_fraction,mean_n_features
book_characters_authors_batch,21,0.7151041038067943,0.6981107103167883,0.9056001253627853,0.8972951360299417,0.9880197549245521,346.7142857142857
paintings_painters_batch,12,0.6403569277667741,0.6243244465426238,0.8759420834035828,0.8673410212159545,0.9748905732517924,441.5
products_founders_batch,14,0.6988306910331988,0.6952470681241583,0.8961881789447703,0.8944242088270421,0.9952122584494493,277.85714285714283
usa_states_batch,50,0.7158993517941364,0.6964853671443113,0.9003983455546117,0.8905299356494782,0.9625510485994585,277.36
