from_slug,to_slug,winning_variant,used_m_tuned,hit,best_gap,n_ablate_labeled,n_amplify_labeled,n_ablate_in_features_json,n_amplify_in_features_json,ref_sum_src,ref_sum_tgt,src_total_influence,tgt_total_influence
american_gothic,american_gothic,add_first_name,0,1,0.000000,21,0,21,0,0.036103,0.000000,0.391974,0.391974
american_gothic,birth_of_venus,add_painter,0,0,13.609400,31,40,31,40,0.043017,0.035058,0.391974,0.370713
american_gothic,blue_boy,add_first_name,0,1,17.875000,21,46,21,46,0.036103,0.073951,0.391974,0.401001
american_gothic,campbells_soup,add_first_name,0,0,2.250000,21,31,21,31,0.036103,0.036394,0.391974,0.375081
american_gothic,girl_pearl_earring,add_painting,0,0,9.507800,102,174,102,174,0.100471,0.117292,0.391974,0.378857
american_gothic,guernica,add_first_name,0,0,5.312500,21,45,21,45,0.036103,0.061962,0.391974,0.388764
american_gothic,nighthawks,add_painting_painter_first_name,0,0,5.406200,154,211,154,211,0.179591,0.235598,0.391974,0.381619
american_gothic,persistence_of_memory,add_painting_painter_first_name,0,0,8.781200,154,241,154,241,0.179591,0.190512,0.391974,0.383751
american_gothic,starry_night,add_painting,1,1,8.890600,0,202,102,100,0.100471,0.083371,0.391974,0.385693
american_gothic,water_lilies,add_first_name,0,0,7.312500,21,32,21,32,0.036103,0.062050,0.391974,0.380385
birth_of_venus,american_gothic,add_painting,0,0,16.390600,114,102,114,102,0.075635,0.100471,0.370713,0.391974
birth_of_venus,birth_of_venus,add_painter,0,1,0.000000,40,0,40,0,0.035058,0.000000,0.370713,0.370713
birth_of_venus,blue_boy,add_painter,0,1,17.187500,40,66,40,66,0.035058,0.095287,0.370713,0.401001
birth_of_venus,campbells_soup,add_painting_first_name,0,0,9.718700,147,139,147,139,0.106605,0.099877,0.370713,0.375081
birth_of_venus,girl_pearl_earring,add_painter,0,0,6.578100,40,49,40,49,0.035058,0.053739,0.370713,0.378857
birth_of_venus,grande_jatte,add_painter,0,0,12.046900,40,50,40,50,0.035058,0.058200,0.370713,0.382613
birth_of_venus,guernica,add_painting_painter_first_name,0,0,9.984300,187,360,187,360,0.141664,0.292769,0.370713,0.388764
birth_of_venus,nighthawks,add_first_name,0,0,6.765600,33,38,33,38,0.030970,0.072810,0.370713,0.381619
birth_of_venus,persistence_of_memory,add_painting_first_name,0,1,15.625000,147,201,147,201,0.106605,0.152104,0.370713,0.383751
birth_of_venus,starry_night,add_first_name,0,0,9.953100,33,38,33,38,0.030970,0.052007,0.370713,0.385693
birth_of_venus,the_scream,add_first_name,0,1,16.468800,33,22,33,22,0.030970,0.034838,0.370713,0.382684
birth_of_venus,water_lilies,add_first_name,1,1,8.312500,0,65,33,32,0.030970,0.062050,0.370713,0.380385
blue_boy,american_gothic,add_painting_first_name,0,0,6.625000,119,123,119,123,0.121263,0.136574,0.401001,0.391974
blue_boy,birth_of_venus,add_painter,0,0,4.812500,66,40,66,40,0.095287,0.035058,0.401001,0.370713
blue_boy,blue_boy,add_first_name,0,1,0.000000,46,0,46,0,0.073951,0.000000,0.401001,0.401001
blue_boy,campbells_soup,add_painting_painter,0,0,6.437500,139,146,139,146,0.142599,0.109716,0.401001,0.375081
blue_boy,girl_pearl_earring,add_painting_first_name,0,0,8.433600,119,213,119,213,0.121263,0.166302,0.401001,0.378857
blue_boy,guernica,add_painter_first_name,0,0,10.046900,112,195,112,195,0.169238,0.194475,0.401001,0.388764
blue_boy,nighthawks,add_painter,0,0,3.261700,66,42,66,42,0.095287,0.075150,0.401001,0.381619
blue_boy,persistence_of_memory,add_painter,0,0,8.000000,66,40,66,40,0.095287,0.038408,0.401001,0.383751
blue_boy,starry_night,add_painting_first_name,0,0,9.726600,119,138,119,138,0.121263,0.135377,0.401001,0.385693
blue_boy,water_lilies,add_first_name,0,0,8.875000,46,32,46,32,0.073951,0.062050,0.401001,0.380385
campbells_soup,american_gothic,add_painting_painter_first_name,0,0,5.812500,177,154,177,154,0.146110,0.179591,0.375081,0.391974
campbells_soup,birth_of_venus,add_painter,0,0,6.562500,38,40,38,40,0.046233,0.035058,0.375081,0.370713
campbells_soup,blue_boy,add_first_name,0,1,15.000000,31,46,31,46,0.036394,0.073951,0.375081,0.401001
campbells_soup,campbells_soup,add_first_name,0,0,0.000000,31,0,31,0,0.036394,0.000000,0.375081,0.375081
campbells_soup,girl_pearl_earring,add_painting_painter_first_name,0,0,5.375000,177,262,177,262,0.146110,0.220041,0.375081,0.378857
campbells_soup,grande_jatte,add_painting,0,0,6.828200,108,183,108,183,0.063483,0.109300,0.375081,0.382613
campbells_soup,guernica,add_painter_first_name,0,0,9.500000,69,195,69,195,0.082627,0.194475,0.375081,0.388764
campbells_soup,nighthawks,add_painting_first_name,0,0,4.125000,139,169,139,169,0.099877,0.160448,0.375081,0.381619
campbells_soup,persistence_of_memory,add_painting,0,1,16.468800,108,167,108,167,0.063483,0.123132,0.375081,0.383751
campbells_soup,starry_night,add_painting,0,0,10.929700,108,100,108,100,0.063483,0.083371,0.375081,0.385693
campbells_soup,the_scream,add_first_name,0,1,9.375000,31,22,31,22,0.036394,0.034838,0.375081,0.382684
campbells_soup,water_lilies,add_first_name,1,1,6.312500,0,63,31,32,0.036394,0.062050,0.375081,0.380385
girl_pearl_earring,american_gothic,add_painting_first_name,0,0,8.468800,213,123,213,123,0.166302,0.136574,0.378857,0.391974
girl_pearl_earring,birth_of_venus,add_painting_first_name,0,0,8.913600,213,147,213,147,0.166302,0.106605,0.378857,0.370713
girl_pearl_earring,blue_boy,add_painter,0,1,12.562500,49,66,49,66,0.053739,0.095287,0.378857,0.401001
girl_pearl_earring,campbells_soup,add_painting_painter,0,0,12.341800,223,146,223,146,0.171031,0.109716,0.378857,0.375081
girl_pearl_earring,girl_pearl_earring,add_painting,0,1,0.000000,174,0,174,0,0.117292,0.000000,0.378857,0.378857
girl_pearl_earring,grande_jatte,add_first_name,0,0,6.906300,39,42,39,42,0.049010,0.053833,0.378857,0.382613
girl_pearl_earring,guernica,add_painter,0,0,6.156300,49,150,49,150,0.053739,0.132513,0.378857,0.388764
girl_pearl_earring,nighthawks,add_painter,0,0,4.953200,49,42,49,42,0.053739,0.075150,0.378857,0.381619
girl_pearl_earring,persistence_of_memory,add_painting,0,0,11.875000,174,167,174,167,0.117292,0.123132,0.378857,0.383751
girl_pearl_earring,starry_night,add_painting,0,0,6.535200,174,100,174,100,0.117292,0.083371,0.378857,0.385693
girl_pearl_earring,the_scream,add_first_name,0,1,7.375000,39,22,39,22,0.049010,0.034838,0.378857,0.382684
girl_pearl_earring,water_lilies,add_painter,0,0,6.812500,49,38,49,38,0.053739,0.068092,0.378857,0.380385
grande_jatte,birth_of_venus,add_painting_painter,0,0,5.500000,233,154,233,154,0.167500,0.110693,0.382613,0.370713
grande_jatte,campbells_soup,add_painter,0,0,11.843800,50,38,50,38,0.058200,0.046233,0.382613,0.375081
grande_jatte,girl_pearl_earring,add_painting_painter_first_name,0,0,8.968700,275,262,275,262,0.221333,0.220041,0.382613,0.378857
grande_jatte,grande_jatte,add_painting,0,1,0.000000,183,0,183,0,0.109300,0.000000,0.382613,0.382613
grande_jatte,guernica,add_painter_first_name,0,0,5.250000,92,195,92,195,0.112034,0.194475,0.382613,0.388764
grande_jatte,nighthawks,add_painting_painter_first_name,0,0,8.898400,275,211,275,211,0.221333,0.235598,0.382613,0.381619
grande_jatte,persistence_of_memory,add_painting,0,0,4.562500,183,167,183,167,0.109300,0.123132,0.382613,0.383751
grande_jatte,starry_night,add_painting,0,0,13.421900,183,100,183,100,0.109300,0.083371,0.382613,0.385693
grande_jatte,the_scream,add_painting_first_name,0,1,22.015600,225,91,225,91,0.163133,0.087804,0.382613,0.382684
grande_jatte,water_lilies,add_painter,0,1,8.437500,50,38,50,38,0.058200,0.068092,0.382613,0.380385
guernica,american_gothic,add_painting_first_name,0,0,14.571800,210,123,210,123,0.160256,0.136574,0.388764,0.391974
guernica,birth_of_venus,add_painting_painter,0,0,9.445400,315,154,315,154,0.230806,0.110693,0.388764,0.370713
guernica,blue_boy,add_first_name,0,1,21.132800,45,46,45,46,0.061962,0.073951,0.388764,0.401001
guernica,campbells_soup,add_painter_first_name,0,0,5.937500,195,69,195,69,0.194475,0.082627,0.388764,0.375081
guernica,girl_pearl_earring,add_painting_painter_first_name,0,0,14.218700,360,262,360,262,0.292769,0.220041,0.388764,0.378857
guernica,grande_jatte,add_painter,0,0,5.187500,150,50,150,50,0.132513,0.058200,0.388764,0.382613
guernica,guernica,add_painting,0,1,0.000000,165,0,165,0,0.098294,0.000000,0.388764,0.388764
guernica,nighthawks,add_painting_first_name,0,0,8.734400,210,169,210,169,0.160256,0.160448,0.388764,0.381619
guernica,persistence_of_memory,add_painting_painter_first_name,0,0,8.000000,360,241,360,241,0.292769,0.190512,0.388764,0.383751
guernica,starry_night,add_painting,1,1,10.503900,0,265,165,100,0.098294,0.083371,0.388764,0.385693
guernica,the_scream,add_first_name,0,1,19.135700,45,22,45,22,0.061962,0.034838,0.388764,0.382684
guernica,water_lilies,add_first_name,1,1,6.062500,0,77,45,32,0.061962,0.062050,0.388764,0.380385
nighthawks,american_gothic,add_painting_first_name,0,0,6.875000,169,123,169,123,0.160448,0.136574,0.381619,0.391974
nighthawks,birth_of_venus,add_painter,0,0,5.625000,42,40,42,40,0.075150,0.035058,0.381619,0.370713
nighthawks,blue_boy,add_painter,0,1,9.718700,42,66,42,66,0.075150,0.095287,0.381619,0.401001
nighthawks,campbells_soup,add_painting_painter_first_name,0,0,3.437500,211,177,211,177,0.235598,0.146110,0.381619,0.375081
nighthawks,girl_pearl_earring,add_painting,0,0,9.957000,131,174,131,174,0.087639,0.117292,0.381619,0.378857
nighthawks,grande_jatte,add_painting,0,0,8.937500,131,183,131,183,0.087639,0.109300,0.381619,0.382613
nighthawks,guernica,add_painting,0,0,9.043000,131,165,131,165,0.087639,0.098294,0.381619,0.388764
nighthawks,nighthawks,add_painting,0,1,0.000000,131,0,131,0,0.087639,0.000000,0.381619,0.381619
nighthawks,persistence_of_memory,add_painting_painter_first_name,0,1,16.000000,211,241,211,241,0.235598,0.190512,0.381619,0.383751
nighthawks,starry_night,add_painting,0,0,8.218700,131,100,131,100,0.087639,0.083371,0.381619,0.385693
nighthawks,the_scream,add_painter,0,0,10.562500,42,27,42,27,0.075150,0.039912,0.381619,0.382684
nighthawks,water_lilies,add_first_name,0,0,7.062500,38,32,38,32,0.072810,0.062050,0.381619,0.380385
persistence_of_memory,american_gothic,add_painting,0,0,20.250000,167,102,167,102,0.123132,0.100471,0.383751,0.391974
persistence_of_memory,birth_of_venus,add_painter,0,0,8.437500,40,40,40,40,0.038408,0.035058,0.383751,0.370713
persistence_of_memory,blue_boy,add_first_name,0,1,20.953100,34,46,34,46,0.028972,0.073951,0.383751,0.401001
persistence_of_memory,campbells_soup,add_painting_painter,0,0,6.312500,207,146,207,146,0.161540,0.109716,0.383751,0.375081
persistence_of_memory,girl_pearl_earring,add_painting_painter_first_name,0,0,12.718700,241,262,241,262,0.190512,0.220041,0.383751,0.378857
persistence_of_memory,grande_jatte,add_painting_painter_first_name,0,0,9.859400,241,275,241,275,0.190512,0.221333,0.383751,0.382613
persistence_of_memory,guernica,add_painting_first_name,0,0,6.667900,201,210,201,210,0.152104,0.160256,0.383751,0.388764
persistence_of_memory,nighthawks,add_painting_painter,0,0,11.781200,207,173,207,173,0.161540,0.162789,0.383751,0.381619
persistence_of_memory,persistence_of_memory,add_first_name,0,1,0.000000,34,0,34,0,0.028972,0.000000,0.383751,0.383751
persistence_of_memory,starry_night,add_painting,1,1,10.609400,0,267,167,100,0.123132,0.083371,0.383751,0.385693
persistence_of_memory,the_scream,add_first_name,0,1,23.656200,34,22,34,22,0.028972,0.034838,0.383751,0.382684
persistence_of_memory,water_lilies,add_painting_painter,0,0,12.689500,207,160,207,160,0.161540,0.154379,0.383751,0.380385
starry_night,american_gothic,add_painting_first_name,0,0,8.062500,138,123,138,123,0.135377,0.136574,0.385693,0.391974
starry_night,birth_of_venus,add_painter,0,0,9.625000,44,40,44,40,0.059346,0.035058,0.385693,0.370713
starry_night,blue_boy,add_first_name,0,1,12.937500,38,46,38,46,0.052007,0.073951,0.385693,0.401001
starry_night,campbells_soup,add_painting_painter,0,0,8.562500,144,146,144,146,0.142717,0.109716,0.385693,0.375081
starry_night,girl_pearl_earring,add_painting,0,0,11.597700,100,174,100,174,0.083371,0.117292,0.385693,0.378857
starry_night,grande_jatte,add_painting,0,0,3.960900,100,183,100,183,0.083371,0.109300,0.385693,0.382613
starry_night,guernica,add_first_name,0,0,10.562500,38,45,38,45,0.052007,0.061962,0.385693,0.388764
starry_night,nighthawks,add_painting_painter,0,0,6.984400,144,173,144,173,0.142717,0.162789,0.385693,0.381619
starry_night,persistence_of_memory,add_painter,0,0,11.000000,44,40,44,40,0.059346,0.038408,0.385693,0.383751
starry_night,starry_night,add_painting,0,1,0.000000,100,0,100,0,0.083371,0.000000,0.385693,0.385693
starry_night,the_scream,add_painter,0,0,7.812500,44,27,44,27,0.059346,0.039912,0.385693,0.382684
starry_night,water_lilies,add_first_name,0,1,6.750000,38,32,38,32,0.052007,0.062050,0.385693,0.380385
the_scream,birth_of_venus,add_painter,0,0,7.468800,27,40,27,40,0.039912,0.035058,0.382684,0.370713
the_scream,campbells_soup,add_painter,0,0,3.687500,27,38,27,38,0.039912,0.046233,0.382684,0.375081
the_scream,girl_pearl_earring,add_painting_first_name,0,0,12.765600,91,213,91,213,0.087804,0.166302,0.382684,0.378857
the_scream,grande_jatte,add_first_name,0,0,9.093700,22,42,22,42,0.034838,0.053833,0.382684,0.382613
the_scream,guernica,add_painting,0,0,7.414000,69,165,69,165,0.052966,0.098294,0.382684,0.388764
the_scream,nighthawks,add_painting_painter,0,0,5.437500,96,173,96,173,0.092878,0.162789,0.382684,0.381619
the_scream,persistence_of_memory,add_painting_painter_first_name,0,1,14.500000,118,241,118,241,0.127716,0.190512,0.382684,0.383751
the_scream,starry_night,add_painting,0,0,7.765600,69,100,69,100,0.052966,0.083371,0.382684,0.385693
the_scream,the_scream,add_first_name,0,0,0.000000,22,0,22,0,0.034838,0.000000,0.382684,0.382684
the_scream,water_lilies,add_first_name,0,0,4.812500,22,32,22,32,0.034838,0.062050,0.382684,0.380385
water_lilies,american_gothic,add_painting_painter,0,0,6.625000,160,133,160,133,0.154379,0.143489,0.380385,0.391974
water_lilies,birth_of_venus,add_painter,0,0,13.500000,38,40,38,40,0.068092,0.035058,0.380385,0.370713
water_lilies,blue_boy,add_painter,0,1,13.125000,38,66,38,66,0.068092,0.095287,0.380385,0.401001
water_lilies,campbells_soup,add_painter,0,0,7.875000,38,38,38,38,0.068092,0.046233,0.380385,0.375081
water_lilies,girl_pearl_earring,add_painting,0,0,7.187500,122,174,122,174,0.086287,0.117292,0.380385,0.378857
water_lilies,grande_jatte,add_first_name,0,0,1.812500,32,42,32,42,0.062050,0.053833,0.380385,0.382613
water_lilies,guernica,add_first_name,0,0,8.187500,32,45,32,45,0.062050,0.061962,0.380385,0.388764
water_lilies,nighthawks,add_first_name,0,0,8.711900,32,38,32,38,0.062050,0.072810,0.380385,0.381619
water_lilies,persistence_of_memory,add_painting,0,0,9.531300,122,167,122,167,0.086287,0.123132,0.380385,0.383751
water_lilies,starry_night,add_painting,0,0,5.656300,122,100,122,100,0.086287,0.083371,0.380385,0.385693
water_lilies,the_scream,add_painter,0,0,21.937500,38,27,38,27,0.068092,0.039912,0.380385,0.382684
water_lilies,water_lilies,add_first_name,0,1,0.000000,32,0,32,0,0.062050,0.000000,0.380385,0.380385
