from_slug,to_slug,winning_variant,used_m_tuned,hit,best_gap,n_ablate_labeled,n_amplify_labeled,n_ablate_in_features_json,n_amplify_in_features_json,ref_sum_src,ref_sum_tgt,src_total_influence,tgt_total_influence
ebenezer_scrooge,huckleberry_finn,add_character_book_author,1,1,12.375000,0,441,136,305,0.212930,0.303928,0.414550,0.385867
ebenezer_scrooge,jay_gatsby,add_character_author,0,1,16.609400,110,122,110,122,0.143019,0.182899,0.414550,0.413165
ebenezer_scrooge,jean_valjean,add_book,0,1,11.312500,26,26,26,26,0.069912,0.047902,0.414550,0.385766
ebenezer_scrooge,katniss_everdeen,add_book_author,0,1,30.812500,71,63,71,63,0.149134,0.104807,0.414550,0.397431
ebenezer_scrooge,raskolnikov,add_book_author,0,0,17.562500,71,38,71,38,0.149134,0.062480,0.414550,0.374571
ebenezer_scrooge,winston_smith,add_book_author,0,1,19.890600,71,52,71,52,0.149134,0.108922,0.414550,0.402036
edmond_dantes,atticus_finch,add_book_author,0,1,29.062500,67,68,67,68,0.089070,0.108991,0.410286,0.402358
edmond_dantes,captain_ahab,add_book_author,0,1,21.757800,67,58,67,58,0.089070,0.103688,0.410286,0.399964
edmond_dantes,dracula,add_character_book_author,0,0,18.656300,177,180,177,180,0.173020,0.252736,0.410286,0.392970
edmond_dantes,ebenezer_scrooge,add_book,0,1,14.312500,15,26,15,26,0.015065,0.069912,0.410286,0.414550
edmond_dantes,edmond_dantes,add_book,0,1,0.000000,15,0,15,0,0.015065,0.000000,0.410286,0.410286
edmond_dantes,elizabeth_bennet,add_book_author,0,1,14.093800,67,51,67,51,0.089070,0.089048,0.410286,0.401960
edmond_dantes,emma_bovary,add_author,0,1,9.812500,52,51,52,51,0.074005,0.066259,0.410286,0.412386
edmond_dantes,frodo_baggins,add_book,0,1,17.781200,15,34,15,34,0.015065,0.080611,0.410286,0.413307
edmond_dantes,gregor_samsa,add_book_author,0,0,22.531300,67,60,67,60,0.089070,0.076076,0.410286,0.395718
edmond_dantes,huckleberry_finn,add_character_book_author,0,0,23.906200,177,305,177,305,0.173020,0.303928,0.410286,0.385867
edmond_dantes,jay_gatsby,add_character_author,0,1,30.375000,162,122,162,122,0.157955,0.182899,0.410286,0.413165
edmond_dantes,jean_valjean,add_book,0,1,7.625000,15,26,15,26,0.015065,0.047902,0.410286,0.385766
edmond_dantes,katniss_everdeen,add_book_author,0,1,28.687500,67,63,67,63,0.089070,0.104807,0.410286,0.397431
edmond_dantes,raskolnikov,add_character_book,0,0,14.656200,125,105,125,105,0.099016,0.099829,0.410286,0.374571
edmond_dantes,winston_smith,add_book_author,0,1,24.882800,67,52,67,52,0.089070,0.108922,0.410286,0.402036
