state_slug,n_features_in_bag,cumulative_influence_in_bag,total_influence_in_graph,fraction_of_graph_influence,n_features_missing_from_metrics
alabama_Birmingham,221,0.2924,0.7044,0.4151,0
alaska_Anchorage,222,0.3082,0.7059,0.4366,0
arizona_Tucson,219,0.3058,0.7015,0.4359,0
arkansas_Fayetteville,232,0.3062,0.6974,0.439,0
california_Oakland,210,0.3035,0.6967,0.4356,0
colorado_colorado_springs,264,0.3213,0.6976,0.4606,0
connecticut_Bridgeport,227,0.2965,0.6935,0.4276,0
delaware_Wilmington,239,0.3067,0.6998,0.4383,0
florida_Miami,202,0.297,0.6931,0.4284,0
georgia_Savannah,219,0.3058,0.6997,0.4371,0
hawaii_Hilo,216,0.2916,0.6972,0.4182,0
idaho_idaho_falls,280,0.3156,0.7039,0.4483,0
illinois_Chicago,211,0.2966,0.6951,0.4266,0
indiana_fort_wayne,327,0.3308,0.7037,0.4701,0
iowa_cedar_rapids,314,0.3289,0.7034,0.4676,0
kansas_Wichita,221,0.2964,0.6985,0.4244,0
kentucky_Louisville,227,0.3032,0.6935,0.4372,0
louisiana_new_orleans,246,0.3174,0.6974,0.4551,0
maine_Portland,219,0.3073,0.7012,0.4382,0
maryland_Baltimore,204,0.3026,0.6971,0.4341,0
massachusetts_Worcester,215,0.2903,0.6955,0.4174,0
michigan_Detroit,200,0.3092,0.7052,0.4385,0
minnesota_Minneapolis,224,0.3064,0.6983,0.4388,0
mississippi_Gulfport,313,0.312,0.6974,0.4473,0
missouri_kansas_city,248,0.3122,0.6976,0.4475,0
montana_Billings,246,0.3193,0.7069,0.4517,0
nebraska_Omaha,235,0.3068,0.7035,0.4361,0
nevada_las_vegas,265,0.3039,0.6986,0.435,0
new_hampshire_manchester,221,0.2893,0.7003,0.4131,0
new_jersey_newark,217,0.3027,0.6902,0.4386,0
new_mexico_albuquerque,216,0.3107,0.7021,0.4425,0
new_york_new_york_city,254,0.2985,0.6852,0.4356,0
north_carolina_charlotte,231,0.3135,0.6963,0.4503,0
north_dakota_fargo,223,0.2953,0.6967,0.4239,0
ohio_Cleveland,202,0.3003,0.6959,0.4315,0
oklahoma_Tulsa,203,0.303,0.7025,0.4313,0
oregon_Portland,220,0.3078,0.7017,0.4387,0
pennsylvania_Philadelphia,208,0.3054,0.6914,0.4418,0
rhode_island_warwick,221,0.2874,0.7042,0.4081,0
south_carolina_charleston,227,0.308,0.701,0.4393,0
south_dakota_sioux_falls,304,0.3183,0.6998,0.4548,0
tennessee_Memphis,220,0.2923,0.6992,0.418,0
texas_Dallas,203,0.3053,0.6949,0.4393,0
utah_Provo,236,0.2907,0.6869,0.4232,0
vermont_Burlington,234,0.3002,0.7048,0.426,0
virginia_virginia_beach,273,0.3236,0.7005,0.462,0
washington_Seattle,204,0.3165,0.7094,0.4462,0
west_virginia_huntington,244,0.3136,0.7057,0.4444,0
wisconsin_Milwaukee,218,0.3095,0.7004,0.4419,0
wyoming_Casper,237,0.2979,0.6899,0.4317,0
