from_slug,to_slug,hit,vsmax,target_rank,rank_in_group,from_suppressed,flipped,regime,winning_replicate,winning_kind,winning_M,winning_source_file
facebook,nike_shoes,0,-2.9219,1526,7,1,0,D,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/facebook/to_nike_shoes__r1.json
facebook,oculus,0,-2.0,374,7,1,0,D,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/facebook/to_oculus__r0.json
facebook,oracle_db,0,2.9375,229,1,1,1,E,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/facebook/to_oracle_db__r1.json
facebook,twitter,0,0.625,197,1,1,1,C,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/facebook/to_twitter__r0.json
facebook,windows,1,,,,0,0,,r0,m_tuned,0.28854,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/facebook/to_windows__r0__m_tuned.json
facebook,wordpress,0,-0.75,94,2,1,1,C,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/facebook/to_wordpress__r0.json
iphone,alibaba,0,1.6875,127,1,1,1,C,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/iphone/to_alibaba__r0.json
iphone,dell_xps,0,1.1875,110,1,1,1,D,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/iphone/to_dell_xps__r1.json
iphone,dyson,0,1.1406,95,1,1,1,D,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/iphone/to_dyson__r2.json
iphone,facebook,0,4.8125,278,1,1,1,D,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/iphone/to_facebook__r2.json
iphone,model_s,0,7.625,149,1,1,1,A,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/iphone/to_model_s__r0.json
iphone,nike_shoes,0,-1.125,95,2,1,0,D,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/iphone/to_nike_shoes__r2.json
iphone,oculus,0,-4.3203,5888,6,1,0,,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/iphone/to_oculus__r0.json
iphone,oracle_db,0,1.3125,52,1,1,1,E,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/iphone/to_oracle_db__r1.json
iphone,twitter,0,-0.2969,127,2,0,1,C,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/iphone/to_twitter__r2.json
iphone,windows,1,,,,0,0,,r2,m_tuned,2.402249,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/iphone/to_windows__r2__m_tuned.json
iphone,wordpress,0,-0.0234,1216,2,1,1,A,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/iphone/to_wordpress__r1.json
model_s,alibaba,0,1.0,62,1,0,0,D,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/model_s/to_alibaba__r0.json
model_s,dell_xps,0,2.6875,62,1,1,1,D,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/model_s/to_dell_xps__r1.json
model_s,dyson,0,1.25,75,1,1,1,D,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/model_s/to_dyson__r0.json
model_s,facebook,0,2.75,54,1,1,0,,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/model_s/to_facebook__r1.json
model_s,iphone,0,1.25,34,1,1,1,D,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/model_s/to_iphone__r1.json
model_s,nike_shoes,0,-2.75,442,6,1,0,D,r2,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/model_s/to_nike_shoes__r2.json
model_s,oculus,0,-0.875,268,2,1,1,D,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/model_s/to_oculus__r0.json
model_s,oracle_db,0,2.2344,86,1,1,0,,r0,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/model_s/to_oracle_db__r0.json
model_s,twitter,0,-0.875,62,2,1,0,D,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/model_s/to_twitter__r1.json
model_s,windows,0,3.0,190,1,1,1,,r1,default,20,output/products_founders_batch/_swaps/runs/fullscale_products_random/by_source/model_s/to_windows__r1.json
