run,variant,from_slug,to_slug,n_ablate,n_amplify,sum_ni_ablate,sum_ni_amplify,missing_ablate,missing_amplify
fullscale_usa_labeled,canonical,alabama_birmingham,alaska_anchorage,62,87,0.0653194785118103,0.11950072646141052,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,arizona_tucson,62,83,0.0653194785118103,0.11737766861915588,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,arkansas_fayetteville,62,69,0.0653194785118103,0.08869636058807373,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,california_oakland,62,62,0.0653194785118103,0.09679704904556274,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,colorado_colorado_springs,62,163,0.0653194785118103,0.21993929147720337,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,connecticut_bridgeport,62,79,0.0653194785118103,0.10764271020889282,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,delaware_wilmington,62,79,0.0653194785118103,0.09494784474372864,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,florida_miami,62,66,0.0653194785118103,0.11373993754386902,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,georgia_savannah,62,73,0.0653194785118103,0.10402095317840576,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,hawaii_hilo,62,85,0.0653194785118103,0.12848812341690063,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,idaho_idaho_falls,62,169,0.0653194785118103,0.21029719710350037,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,illinois_chicago,62,62,0.0653194785118103,0.09457412362098694,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,indiana_fort_wayne,62,200,0.0653194785118103,0.1959233582019806,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,iowa_cedar_rapids,62,160,0.0653194785118103,0.16788911819458008,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,kansas_wichita,62,90,0.0653194785118103,0.1103772521018982,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,kentucky_louisville,62,83,0.0653194785118103,0.118527352809906,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,louisiana_new_orleans,62,94,0.0653194785118103,0.12689152359962463,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,maine_portland,62,65,0.0653194785118103,0.090444415807724,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,maryland_baltimore,62,83,0.0653194785118103,0.1246318519115448,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,massachusetts_worcester,62,70,0.0653194785118103,0.08763980865478516,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,michigan_detroit,62,74,0.0653194785118103,0.12348562479019165,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,minnesota_minneapolis,62,82,0.0653194785118103,0.116299569606781,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,mississippi_gulfport,62,137,0.0653194785118103,0.1213114857673645,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,missouri_kansas_city,62,71,0.0653194785118103,0.10495862364768982,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,montana_billings,62,96,0.0653194785118103,0.11597967147827148,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,nebraska_omaha,62,95,0.0653194785118103,0.12943944334983826,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,nevada_las_vegas,62,100,0.0653194785118103,0.11072680354118347,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,new_hampshire_manchester,62,54,0.0653194785118103,0.059007495641708374,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,new_jersey_newark,62,87,0.0653194785118103,0.11193090677261353,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,new_mexico_albuquerque,62,79,0.0653194785118103,0.11723542213439941,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,new_york_new_york_city,62,68,0.0653194785118103,0.0789288878440857,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,north_carolina_charlotte,62,86,0.0653194785118103,0.1272735595703125,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,north_dakota_fargo,62,92,0.0653194785118103,0.11919137835502625,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,ohio_cleveland,62,67,0.0653194785118103,0.1070011556148529,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,oklahoma_tulsa,62,73,0.0653194785118103,0.11738428473472595,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,oregon_portland,62,65,0.0653194785118103,0.08678621053695679,0,0
fullscale_usa_labeled,canonical,alabama_birmingham,pennsylvania_philadelphia,62,71,0.0653194785118103,0.11488392949104309,0,0
