domain,from_slug,to_slug,is_identity,K_src,K_tgt,ref_sum_src,ref_sum_tgt,achieved_sum_src,achieved_sum_tgt,ablate_count,amplify_count,hit_default,hit_m_tuned,best_hit,has_m_tuned,m_tuned_value,m_tuned_steps,from_suppressed_default,best_gap_default,gap_closure_default,vs_max_default,vs_topk_default,labeled_winning_variant,labeled_used_m_tuned,labeled_hit,labeled_best_gap,labeled_n_ablate,labeled_n_amplify,labeled_ref_sum_src,labeled_ref_sum_tgt
products,alibaba,alibaba,1,6,0,0.060332,0.0,0.06255328655242891,0.0,6,0,0,,0,0,,,1,0.0,0.0,1.125,1.3333,add_company,0,1,0.0,48,0,0.060332,0.0
products,alibaba,dell_xps,0,6,3,0.060332,0.0261,0.06255328655242891,0.0340588390827177,6,3,0,,0,0,,,1,2.25,0.0,-0.0781,1.1224,add_company,0,0,7.6875,48,35,0.060332,0.0261
products,alibaba,dyson,0,15,115,0.10608,0.21689,0.10684639215469281,0.21700465679168088,15,115,0,,0,0,,,1,4.625,0.0,-0.4375,0.125,add_company_founder,0,0,7.9375,81,260,0.10608,0.21689
products,alibaba,ebay_platform,0,15,20,0.10608,0.120871,0.10684639215469281,0.12119919061660661,15,20,0,,0,0,,,0,4.875,0.0,-2.0625,-0.875,add_company_founder,0,0,3.125,81,102,0.10608,0.120871
products,alibaba,facebook,0,35,14,0.150007,0.114473,0.15157505869865223,0.1156882345676413,35,14,0,,0,0,,,1,8.6875,0.0,0.375,1.2083,add_product_company_founder,0,1,11.5,116,67,0.150007,0.114473
products,alibaba,ford_cars,0,11,35,0.089675,0.180719,0.09138745069503731,0.18201282620429807,11,35,0,,0,0,,,1,3.3125,0.0,-1.75,-1.1667,add_product_founder,0,0,17.6611,68,119,0.089675,0.180719
products,alibaba,iphone,0,15,13,0.10608,0.097382,0.10684639215469281,0.1012419164180749,15,13,0,,0,0,,,0,5.1562,0.0,0.0,1.3542,add_company_founder,0,1,9.375,81,56,0.10608,0.097382
products,alibaba,model_s,0,15,15,0.10608,0.099756,0.10684639215469281,0.1023919582366937,15,15,0,,0,0,,,0,13.8125,0.0,6.5,7.3333,add_company_founder,0,1,16.375,81,62,0.10608,0.099756
products,alibaba,oculus,0,5,4,0.045747,0.044431,0.0545862317085264,0.045868933200836,5,4,0,,0,0,,,1,-0.25,4.8125,-5.0625,-0.4167,add_founder,0,1,10.1875,33,40,0.045747,0.044431
products,alibaba,oracle_db,0,4,8,0.043928,0.068652,0.045646876096725304,0.07044121623039211,4,8,0,,0,0,,,1,0.25,0.0,-1.875,-1.7083,add_product,0,0,10.2656,35,71,0.043928,0.068652
products,alibaba,windows,0,6,3,0.060332,0.031072,0.06255328655242891,0.0317264795303343,6,3,0,,0,0,,,1,2.5625,0.0,1.0625,2.2917,add_company,0,1,11.5625,48,16,0.060332,0.031072
products,alibaba,wordpress,0,15,8,0.10426,0.071574,0.10684639215469281,0.0724691748619077,15,8,0,,0,0,,,1,7.9063,0.0,1.0,1.7083,add_product_company,0,0,16.0312,83,61,0.10426,0.071574
products,dell_xps,alibaba,0,3,6,0.0261,0.060332,0.0340588390827177,0.06255328655242891,3,6,0,,0,0,,,1,0.1875,3.125,-2.125,0.1875,add_company,0,0,4.4375,35,48,0.0261,0.060332
products,dell_xps,dell_xps,1,3,0,0.0261,0.0,0.0340588390827177,0.0,3,0,1,,1,0,,,0,0.0,0.0,6.875,7.9167,add_company,0,1,0.0,35,0,0.0261,0.0
products,dell_xps,dyson,0,3,10,0.0261,0.078035,0.0340588390827177,0.08064717054367018,3,10,0,,0,0,,,1,0.5625,0.0,-0.5,0.0833,add_company,0,0,9.2734,35,106,0.0261,0.078035
products,dell_xps,ebay_platform,0,20,20,0.115243,0.120871,0.11689719557762068,0.12119919061660661,20,20,0,,0,0,,,1,5.125,0.0,-2.0,1.0833,add_company_founder,0,0,2.4375,117,102,0.115243,0.120871
products,dell_xps,facebook,0,9,7,0.073192,0.07025,0.0757533311843869,0.0728487968444819,9,7,0,,0,0,,,1,6.4375,4.9375,7.2812,7.4166,add_product_company,0,0,16.7812,95,37,0.073192,0.07025
