condition,n_sources_seen,sources_hit,source_coverage,cells_run,cells_max_no_earlystop,cells_skipped_by_earlystop,cell_hits_default,cell_hits_msearch,cell_hits_total,cell_hit_rate,mean_n_amplify,mean_n_ablate,n_msearch_hits_with_m,m_tuned_min,m_tuned_median,m_tuned_mean,m_tuned_max
auto_top10,49,3,0.0612,49,49,0,3,0,3,0.0612,10.0,1253.37,0,,,,
auto_top21,49,3,0.0612,49,49,0,0,3,3,0.0612,21.0,1253.37,3,6.931448,6.931448,6.931,6.931448
auto_top100,49,6,0.1224,49,49,0,0,6,6,0.1224,100.0,1253.37,6,2.402249,2.402249,2.402,2.402249
auto_top200,49,1,0.0204,49,49,0,0,1,1,0.0204,200.0,1253.37,1,4.080572,4.080572,4.081,4.080572
