state_slug,n_features_in_bag,cumulative_influence_in_bag,total_influence_in_graph,fraction_of_graph_influence,n_features_missing_from_metrics
california_oakland,1225,0.4069,0.7153,0.5688,0
florida_miami,1192,0.4012,0.7145,0.5615,0
illinois_chicago,1267,0.393,0.7113,0.5524,0
new_york_new_york_city,1220,0.3925,0.716,0.5481,0
texas_dallas,1182,0.4013,0.7141,0.562,0
texas_dallas__clt-hp_wrong_transcoder,246,0.2999,0.6877,0.4361,0
washington_seattle,1178,0.3864,0.7114,0.5431,0
