domain,run,variant,from_slug,to_slug,n_ablate,n_amplify,sum_ni_ablate,sum_ni_amplify,missing_ablate,missing_amplify
sounds,fullscale_sounds_random,r0,buzz,meow,62,62,0.04187649488449097,0.04835355281829834,0,0
sounds,fullscale_sounds_random,r1,buzz,meow,62,62,0.04782366752624512,0.04737895727157593,0,0
sounds,fullscale_sounds_random,r2,buzz,meow,62,62,0.04839354753494263,0.05778279900550842,0,0
sounds,fullscale_sounds_random,r0,buzz,oink,62,110,0.047520607709884644,0.10179215669631958,0,0
sounds,fullscale_sounds_random,r1,buzz,oink,62,110,0.044319868087768555,0.08348420262336731,0,0
sounds,fullscale_sounds_random,r2,buzz,oink,62,110,0.05215230584144592,0.07124501466751099,0,0
sounds,fullscale_sounds_random,r0,buzz,whinny,62,87,0.05088856816291809,0.06517678499221802,0,0
sounds,fullscale_sounds_random,r1,buzz,whinny,62,87,0.04903894662857056,0.07193145155906677,0,0
sounds,fullscale_sounds_random,r2,buzz,whinny,62,87,0.044838547706604004,0.06211477518081665,0,0
sounds,fullscale_sounds_random,r0,hiss,bark,111,68,0.07364019751548767,0.0465264618396759,0,0
sounds,fullscale_sounds_random,r1,hiss,bark,111,68,0.06628599762916565,0.059427738189697266,0,0
sounds,fullscale_sounds_random,r2,hiss,bark,111,68,0.07312124967575073,0.0521826446056366,0,0
sounds,fullscale_sounds_random,r0,hiss,buzz,111,62,0.07326376438140869,0.04527398943901062,0,0
sounds,fullscale_sounds_random,r1,hiss,buzz,111,62,0.08633208274841309,0.04405033588409424,0,0
sounds,fullscale_sounds_random,r2,hiss,buzz,111,62,0.09422168135643005,0.041922032833099365,0,0
sounds,fullscale_sounds_random,r0,hiss,meow,111,62,0.07347738742828369,0.058840394020080566,0,0
sounds,fullscale_sounds_random,r1,hiss,meow,111,62,0.08431968092918396,0.05898067355155945,0,0
sounds,fullscale_sounds_random,r2,hiss,meow,111,62,0.07698860764503479,0.05533209443092346,0,0
sounds,fullscale_sounds_random,r0,hiss,oink,111,110,0.09837853908538818,0.07326266169548035,0,0
sounds,fullscale_sounds_random,r1,hiss,oink,111,110,0.08041948080062866,0.06803658604621887,0,0
sounds,fullscale_sounds_random,r2,hiss,oink,111,110,0.08504295349121094,0.08319959044456482,0,0
sounds,fullscale_sounds_random,r0,hiss,whinny,111,87,0.07598540186882019,0.06677675247192383,0,0
sounds,fullscale_sounds_random,r1,hiss,whinny,111,87,0.07679662108421326,0.0696142315864563,0,0
sounds,fullscale_sounds_random,r2,hiss,whinny,111,87,0.08280539512634277,0.07732588052749634,0,0
sounds,fullscale_sounds_random,r0,meow,bark,62,68,0.04938310384750366,0.05176815390586853,0,0
sounds,fullscale_sounds_random,r1,meow,bark,62,68,0.05852788686752319,0.05388343334197998,0,0
sounds,fullscale_sounds_random,r2,meow,bark,62,68,0.05042728781700134,0.04875713586807251,0,0
sounds,fullscale_sounds_random,r0,meow,buzz,62,62,0.051076412200927734,0.04594230651855469,0,0
sounds,fullscale_sounds_random,r1,meow,buzz,62,62,0.048800885677337646,0.047553300857543945,0,0
sounds,fullscale_sounds_random,r2,meow,buzz,62,62,0.05185091495513916,0.04747331142425537,0,0
sounds,fullscale_sounds_random,r0,meow,hiss,62,111,0.05140674114227295,0.06824585795402527,0,0
sounds,fullscale_sounds_random,r1,meow,hiss,62,111,0.06475245952606201,0.09439900517463684,0,0
sounds,fullscale_sounds_random,r2,meow,hiss,62,111,0.06726014614105225,0.0776732861995697,0,0
sounds,fullscale_sounds_random,r0,meow,oink,62,110,0.05082118511199951,0.0793621838092804,0,0
sounds,fullscale_sounds_random,r1,meow,oink,62,110,0.0617406964302063,0.07840201258659363,0,0
sounds,fullscale_sounds_random,r2,meow,oink,62,110,0.06539863348007202,0.07303914427757263,0,0
sounds,fullscale_sounds_random,r0,meow,whinny,62,87,0.0503523051738739,0.07364663481712341,0,0
sounds,fullscale_sounds_random,r1,meow,whinny,62,87,0.0600525438785553,0.07623288035392761,0,0
sounds,fullscale_sounds_random,r2,meow,whinny,62,87,0.0447850227355957,0.07252731919288635,0,0
sounds,fullscale_sounds_random,r0,oink,bark,110,68,0.08001962304115295,0.06045207381248474,0,0
sounds,fullscale_sounds_random,r1,oink,bark,110,68,0.08014732599258423,0.055812835693359375,0,0
sounds,fullscale_sounds_random,r2,oink,bark,110,68,0.08435553312301636,0.04009157419204712,0,0
sounds,fullscale_sounds_random,r0,oink,buzz,110,62,0.07303208112716675,0.0541386604309082,0,0
sounds,fullscale_sounds_random,r1,oink,buzz,110,62,0.08873513340950012,0.048105061054229736,0,0
sounds,fullscale_sounds_random,r2,oink,buzz,110,62,0.09141668677330017,0.04750591516494751,0,0
sounds,fullscale_sounds_random,r0,oink,hiss,110,111,0.08618050813674927,0.09170505404472351,0,0
sounds,fullscale_sounds_random,r1,oink,hiss,110,111,0.07224011421203613,0.08298009634017944,0,0
sounds,fullscale_sounds_random,r2,oink,hiss,110,111,0.08793416619300842,0.06997713446617126,0,0
sounds,fullscale_sounds_random,r0,oink,meow,110,62,0.08317604660987854,0.051364243030548096,0,0
sounds,fullscale_sounds_random,r1,oink,meow,110,62,0.07692363858222961,0.0630231499671936,0,0
sounds,fullscale_sounds_random,r2,oink,meow,110,62,0.08587026596069336,0.05265733599662781,0,0
sounds,fullscale_sounds_random,r0,oink,whinny,110,87,0.08978688716888428,0.061961740255355835,0,0
sounds,fullscale_sounds_random,r1,oink,whinny,110,87,0.09346866607666016,0.07039356231689453,0,0
sounds,fullscale_sounds_random,r2,oink,whinny,110,87,0.07773181796073914,0.06319877505302429,0,0
sounds,fullscale_sounds_random,r0,whinny,bark,87,68,0.07647141814231873,0.06649020314216614,0,0
sounds,fullscale_sounds_random,r1,whinny,bark,87,68,0.0721682608127594,0.06204298138618469,0,0
sounds,fullscale_sounds_random,r2,whinny,bark,87,68,0.06408125162124634,0.05333000421524048,0,0
sounds,fullscale_sounds_random,r0,whinny,buzz,87,62,0.06718915700912476,0.04155901074409485,0,0
