domain,from_slug,to_slug,is_identity,K_src,K_tgt,ref_sum_src,ref_sum_tgt,achieved_sum_src,achieved_sum_tgt,ablate_count,amplify_count,hit_default,hit_m_tuned,best_hit,has_m_tuned,m_tuned_value,m_tuned_steps,from_suppressed_default,best_gap_default,gap_closure_default,vs_max_default,vs_topk_default,labeled_winning_variant,labeled_used_m_tuned,labeled_hit,labeled_best_gap,labeled_n_ablate,labeled_n_amplify,labeled_ref_sum_src,labeled_ref_sum_tgt
books,captain_ahab,jean_valjean,0,10,6,0.066373,0.047902,0.06663975119590729,0.048280835151671996,10,6,0,,0,0,,,1,8.25,0.0,-1.4375,-1.0833,add_book,0,1,13.1875,29,26,0.066373,0.047902
books,captain_ahab,katniss_everdeen,0,20,16,0.103688,0.104807,0.10613948106765658,0.10726243257522512,20,16,0,,0,0,,,1,23.0156,0.0,7.3125,7.625,add_book_author,0,1,28.875,58,63,0.103688,0.104807
books,captain_ahab,raskolnikov,0,20,8,0.103688,0.06248,0.10613948106765658,0.0639255046844478,20,8,0,,0,0,,,1,7.2969,0.0,-5.25,-4.125,add_book_author,0,0,13.25,58,38,0.103688,0.06248
books,captain_ahab,winston_smith,0,10,7,0.066373,0.066463,0.06663975119590729,0.0732764005661008,10,7,0,,0,0,,,1,21.4062,0.0,9.625,11.2292,add_book,0,1,19.6562,29,19,0.066373,0.066463
books,dracula,atticus_finch,0,32,19,0.148681,0.108991,0.1502849459648114,0.11148107051849247,32,19,0,,0,0,,,1,6.625,0.0,-0.375,1.6667,add_book_author,0,1,23.875,104,68,0.148681,0.108991
books,dracula,captain_ahab,0,13,10,0.088953,0.066373,0.0928445458412162,0.06663975119590729,13,10,0,,0,0,,,1,5.5625,0.0,-1.75,-1.2917,add_book,0,1,19.625,66,29,0.088953,0.066373
books,dracula,dracula,1,8,0,0.059728,0.0,0.0640558898448939,0.0,8,0,0,,0,0,,,1,0.0,0.0,3.25,4.2917,add_author,0,1,0.0,38,0,0.059728,0.0
books,dracula,ebenezer_scrooge,0,32,24,0.148681,0.149134,0.1502849459648114,0.1502445340156546,32,24,0,,0,0,,,0,1.875,0.0,1.3125,1.8542,add_book_author,0,0,14.7188,104,71,0.148681,0.149134
books,dracula,edmond_dantes,0,32,15,0.148681,0.08907,0.1502849459648114,0.08945497870445172,32,15,0,,0,0,,,1,-0.0625,0.0,-3.25,-2.2917,add_book_author,0,0,18.8594,104,67,0.148681,0.08907
books,dracula,elizabeth_bennet,0,32,12,0.148681,0.089048,0.1502849459648114,0.09336459636688169,32,12,0,,0,0,,,1,11.8125,0.0,1.5,3.2917,add_book_author,0,1,18.4219,104,51,0.148681,0.089048
books,dracula,emma_bovary,0,8,12,0.059728,0.066259,0.0640558898448939,0.0681196451187128,8,12,0,,0,0,,,1,1.0625,0.0,-0.1875,0.3333,add_author,0,1,20.4766,38,51,0.059728,0.066259
books,dracula,frodo_baggins,0,13,11,0.088953,0.080611,0.0928445458412162,0.0837748646736137,13,11,0,,0,0,,,1,4.8125,0.0,2.5,2.5833,add_book,0,0,25.8516,66,34,0.088953,0.080611
books,dracula,gregor_samsa,0,13,4,0.088953,0.027791,0.0928445458412162,0.032445430755615005,13,4,0,,0,0,,,1,1.5625,0.0,-2.625,-1.3333,add_book,1,1,10.0,0,86,0.088953,0.027791
books,dracula,huckleberry_finn,0,32,56,0.148681,0.179673,0.1502849459648114,0.17995312809943903,32,56,0,,0,0,,,1,9.0,0.0,-0.125,0.7292,add_book_author,0,0,23.375,104,176,0.148681,0.179673
books,dracula,jay_gatsby,0,16,13,0.104055,0.110476,0.10568878054618729,0.11128696799278187,16,13,0,,0,0,,,0,7.1875,0.0,2.5,2.75,add_character,0,1,21.1094,76,76,0.104055,0.110476
