domain,run,variant,from_slug,to_slug,n_ablate,n_amplify,sum_ni_ablate,sum_ni_amplify,missing_ablate,missing_amplify
books,fullscale_books_labeled,canonical,ebenezer_scrooge,emma_bovary,136,403,0.21293047070503235,0.37268880009651184,0,0
books,fullscale_books_labeled,canonical,ebenezer_scrooge,frodo_baggins,136,110,0.21293047070503235,0.15437233448028564,0,0
books,fullscale_books_labeled,canonical,ebenezer_scrooge,gregor_samsa,136,189,0.21293047070503235,0.153411865234375,0,0
books,fullscale_books_labeled,canonical,ebenezer_scrooge,huckleberry_finn,136,305,0.21293047070503235,0.3039283752441406,0,0
books,fullscale_books_labeled,canonical,ebenezer_scrooge,jay_gatsby,136,197,0.21293047070503235,0.295410692691803,0,0
books,fullscale_books_labeled,canonical,ebenezer_scrooge,jean_valjean,136,165,0.21293047070503235,0.16934317350387573,0,0
books,fullscale_books_labeled,canonical,ebenezer_scrooge,katniss_everdeen,136,118,0.21293047070503235,0.15041694045066833,0,0
books,fullscale_books_labeled,canonical,ebenezer_scrooge,raskolnikov,136,117,0.21293047070503235,0.11325234174728394,0,0
books,fullscale_books_labeled,canonical,ebenezer_scrooge,winston_smith,136,122,0.21293047070503235,0.17756420373916626,0,0
books,fullscale_books_labeled,canonical,edmond_dantes,atticus_finch,177,166,0.17302048206329346,0.18784549832344055,0,0
books,fullscale_books_labeled,canonical,edmond_dantes,captain_ahab,177,177,0.17302048206329346,0.19286039471626282,0,0
books,fullscale_books_labeled,canonical,edmond_dantes,dracula,177,180,0.17302048206329346,0.2527362108230591,0,0
books,fullscale_books_labeled,canonical,edmond_dantes,ebenezer_scrooge,177,136,0.17302048206329346,0.21293047070503235,0,0
books,fullscale_books_labeled,canonical,edmond_dantes,elizabeth_bennet,177,124,0.17302048206329346,0.19158998131752014,0,0
books,fullscale_books_labeled,canonical,edmond_dantes,emma_bovary,177,403,0.17302048206329346,0.37268880009651184,0,0
books,fullscale_books_labeled,canonical,edmond_dantes,frodo_baggins,177,110,0.17302048206329346,0.15437233448028564,0,0
books,fullscale_books_labeled,canonical,edmond_dantes,gregor_samsa,177,189,0.17302048206329346,0.153411865234375,0,0
books,fullscale_books_labeled,canonical,edmond_dantes,huckleberry_finn,177,305,0.17302048206329346,0.3039283752441406,0,0
books,fullscale_books_labeled,canonical,edmond_dantes,jay_gatsby,177,197,0.17302048206329346,0.295410692691803,0,0
books,fullscale_books_labeled,canonical,edmond_dantes,jean_valjean,177,165,0.17302048206329346,0.16934317350387573,0,0
books,fullscale_books_labeled,canonical,edmond_dantes,katniss_everdeen,177,118,0.17302048206329346,0.15041694045066833,0,0
books,fullscale_books_labeled,canonical,edmond_dantes,raskolnikov,177,117,0.17302048206329346,0.11325234174728394,0,0
books,fullscale_books_labeled,canonical,edmond_dantes,winston_smith,177,122,0.17302048206329346,0.17756420373916626,0,0
books,fullscale_books_labeled,canonical,elizabeth_bennet,atticus_finch,124,166,0.19158998131752014,0.18784549832344055,0,0
books,fullscale_books_labeled,canonical,elizabeth_bennet,captain_ahab,124,177,0.19158998131752014,0.19286039471626282,0,0
books,fullscale_books_labeled,canonical,elizabeth_bennet,dracula,124,180,0.19158998131752014,0.2527362108230591,0,0
books,fullscale_books_labeled,canonical,elizabeth_bennet,ebenezer_scrooge,124,136,0.19158998131752014,0.21293047070503235,0,0
books,fullscale_books_labeled,canonical,elizabeth_bennet,edmond_dantes,124,177,0.19158998131752014,0.17302048206329346,0,0
books,fullscale_books_labeled,canonical,elizabeth_bennet,emma_bovary,124,403,0.19158998131752014,0.37268880009651184,0,0
books,fullscale_books_labeled,canonical,elizabeth_bennet,frodo_baggins,124,110,0.19158998131752014,0.15437233448028564,0,0
books,fullscale_books_labeled,canonical,elizabeth_bennet,gregor_samsa,124,189,0.19158998131752014,0.153411865234375,0,0
books,fullscale_books_labeled,canonical,elizabeth_bennet,huckleberry_finn,124,305,0.19158998131752014,0.3039283752441406,0,0
books,fullscale_books_labeled,canonical,elizabeth_bennet,jay_gatsby,124,197,0.19158998131752014,0.295410692691803,0,0
books,fullscale_books_labeled,canonical,elizabeth_bennet,jean_valjean,124,165,0.19158998131752014,0.16934317350387573,0,0
books,fullscale_books_labeled,canonical,elizabeth_bennet,katniss_everdeen,124,118,0.19158998131752014,0.15041694045066833,0,0
books,fullscale_books_labeled,canonical,elizabeth_bennet,raskolnikov,124,117,0.19158998131752014,0.11325234174728394,0,0
books,fullscale_books_labeled,canonical,elizabeth_bennet,winston_smith,124,122,0.19158998131752014,0.17756420373916626,0,0
books,fullscale_books_labeled,canonical,emma_bovary,atticus_finch,403,166,0.37268880009651184,0.18784549832344055,0,0
books,fullscale_books_labeled,canonical,emma_bovary,captain_ahab,403,177,0.37268880009651184,0.19286039471626282,0,0
books,fullscale_books_labeled,canonical,emma_bovary,dracula,403,180,0.37268880009651184,0.2527362108230591,0,0
books,fullscale_books_labeled,canonical,emma_bovary,ebenezer_scrooge,403,136,0.37268880009651184,0.21293047070503235,0,0
books,fullscale_books_labeled,canonical,emma_bovary,edmond_dantes,403,177,0.37268880009651184,0.17302048206329346,0,0
books,fullscale_books_labeled,canonical,emma_bovary,elizabeth_bennet,403,124,0.37268880009651184,0.19158998131752014,0,0
books,fullscale_books_labeled,canonical,emma_bovary,frodo_baggins,403,110,0.37268880009651184,0.15437233448028564,0,0
books,fullscale_books_labeled,canonical,emma_bovary,gregor_samsa,403,189,0.37268880009651184,0.153411865234375,0,0
books,fullscale_books_labeled,canonical,emma_bovary,huckleberry_finn,403,305,0.37268880009651184,0.3039283752441406,0,0
books,fullscale_books_labeled,canonical,emma_bovary,jay_gatsby,403,197,0.37268880009651184,0.295410692691803,0,0
books,fullscale_books_labeled,canonical,emma_bovary,jean_valjean,403,165,0.37268880009651184,0.16934317350387573,0,0
books,fullscale_books_labeled,canonical,emma_bovary,katniss_everdeen,403,118,0.37268880009651184,0.15041694045066833,0,0
books,fullscale_books_labeled,canonical,emma_bovary,raskolnikov,403,117,0.37268880009651184,0.11325234174728394,0,0
books,fullscale_books_labeled,canonical,emma_bovary,winston_smith,403,122,0.37268880009651184,0.17756420373916626,0,0
books,fullscale_books_labeled,canonical,frodo_baggins,atticus_finch,110,166,0.15437233448028564,0.18784549832344055,0,0
books,fullscale_books_labeled,canonical,frodo_baggins,captain_ahab,110,177,0.15437233448028564,0.19286039471626282,0,0
books,fullscale_books_labeled,canonical,frodo_baggins,dracula,110,180,0.15437233448028564,0.2527362108230591,0,0
books,fullscale_books_labeled,canonical,frodo_baggins,ebenezer_scrooge,110,136,0.15437233448028564,0.21293047070503235,0,0
books,fullscale_books_labeled,canonical,frodo_baggins,edmond_dantes,110,177,0.15437233448028564,0.17302048206329346,0,0
books,fullscale_books_labeled,canonical,frodo_baggins,elizabeth_bennet,110,124,0.15437233448028564,0.19158998131752014,0,0
books,fullscale_books_labeled,canonical,frodo_baggins,emma_bovary,110,403,0.15437233448028564,0.37268880009651184,0,0
books,fullscale_books_labeled,canonical,frodo_baggins,gregor_samsa,110,189,0.15437233448028564,0.153411865234375,0,0
books,fullscale_books_labeled,canonical,frodo_baggins,huckleberry_finn,110,305,0.15437233448028564,0.3039283752441406,0,0
books,fullscale_books_labeled,canonical,frodo_baggins,jay_gatsby,110,197,0.15437233448028564,0.295410692691803,0,0
books,fullscale_books_labeled,canonical,frodo_baggins,jean_valjean,110,165,0.15437233448028564,0.16934317350387573,0,0
books,fullscale_books_labeled,canonical,frodo_baggins,katniss_everdeen,110,118,0.15437233448028564,0.15041694045066833,0,0
books,fullscale_books_labeled,canonical,frodo_baggins,raskolnikov,110,117,0.15437233448028564,0.11325234174728394,0,0
books,fullscale_books_labeled,canonical,frodo_baggins,winston_smith,110,122,0.15437233448028564,0.17756420373916626,0,0
books,fullscale_books_labeled,canonical,gregor_samsa,atticus_finch,189,166,0.153411865234375,0.18784549832344055,0,0
books,fullscale_books_labeled,canonical,gregor_samsa,captain_ahab,189,177,0.153411865234375,0.19286039471626282,0,0
books,fullscale_books_labeled,canonical,gregor_samsa,dracula,189,180,0.153411865234375,0.2527362108230591,0,0
books,fullscale_books_labeled,canonical,gregor_samsa,ebenezer_scrooge,189,136,0.153411865234375,0.21293047070503235,0,0
books,fullscale_books_labeled,canonical,gregor_samsa,edmond_dantes,189,177,0.153411865234375,0.17302048206329346,0,0
books,fullscale_books_labeled,canonical,gregor_samsa,elizabeth_bennet,189,124,0.153411865234375,0.19158998131752014,0,0
books,fullscale_books_labeled,canonical,gregor_samsa,emma_bovary,189,403,0.153411865234375,0.37268880009651184,0,0
books,fullscale_books_labeled,canonical,gregor_samsa,frodo_baggins,189,110,0.153411865234375,0.15437233448028564,0,0
books,fullscale_books_labeled,canonical,gregor_samsa,huckleberry_finn,189,305,0.153411865234375,0.3039283752441406,0,0
books,fullscale_books_labeled,canonical,gregor_samsa,jay_gatsby,189,197,0.153411865234375,0.295410692691803,0,0
