from_slug,to_slug,hit,vsmax,target_rank,rank_in_group,from_suppressed,flipped,regime,winning_replicate,winning_kind,winning_M,winning_source_file
alabama_birmingham,new_hampshire_manchester,0,-2.75,690,15,1,1,C,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_new_hampshire_manchester__r2.json
alabama_birmingham,new_jersey_newark,0,-3.75,68,29,1,1,C,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_new_jersey_newark__r1.json
alabama_birmingham,new_mexico_albuquerque,0,-2.1562,304,7,1,1,D,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_new_mexico_albuquerque__r0.json
alabama_birmingham,new_york_new_york_city,0,0.625,31,1,1,1,E,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_new_york_new_york_city__r1.json
alabama_birmingham,north_carolina_charlotte,0,-2.1875,74,13,1,1,C,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_north_carolina_charlotte__r1.json
alabama_birmingham,north_dakota_fargo,0,-2.125,8650,3,1,1,A,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_north_dakota_fargo__r2.json
alabama_birmingham,ohio_cleveland,0,1.4375,40,1,1,1,C,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_ohio_cleveland__r2.json
alabama_birmingham,oklahoma_tulsa,0,1.25,74,1,1,1,E,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_oklahoma_tulsa__r0.json
alabama_birmingham,oregon_portland,0,-3.0625,200,8,1,1,D,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_oregon_portland__r1.json
alabama_birmingham,pennsylvania_philadelphia,0,-2.625,106,5,1,1,C,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_pennsylvania_philadelphia__r0.json
alabama_birmingham,rhode_island_warwick,0,-0.6875,188,4,1,1,E,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_rhode_island_warwick__r2.json
alabama_birmingham,south_carolina_charleston,0,0.875,89,1,1,1,C,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_south_carolina_charleston__r0.json
alabama_birmingham,south_dakota_sioux_falls,0,-6.4375,1986,34,1,0,D,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_south_dakota_sioux_falls__r1.json
alabama_birmingham,tennessee_memphis,0,-2.5781,89,18,1,1,C,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_tennessee_memphis__r2.json
alabama_birmingham,texas_dallas,0,-0.75,64,3,1,0,D,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_texas_dallas__r2.json
alabama_birmingham,utah_provo,0,-1.625,613,6,1,1,E,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_utah_provo__r1.json
alabama_birmingham,vermont_burlington,0,-1.25,135,6,1,1,C,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_vermont_burlington__r1.json
alabama_birmingham,virginia_virginia_beach,0,6.0,153,1,1,1,A,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_virginia_virginia_beach__r2.json
alabama_birmingham,washington_seattle,0,0.25,89,1,1,1,E,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_washington_seattle__r0.json
alabama_birmingham,west_virginia_huntington,0,-2.625,172,7,1,1,E,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_west_virginia_huntington__r2.json
alabama_birmingham,wisconsin_milwaukee,0,-1.5625,167,3,0,1,C,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_wisconsin_milwaukee__r2.json
alabama_birmingham,wyoming_casper,0,-1.5,965,3,1,1,A,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alabama_birmingham/to_wyoming_casper__r2.json
alaska_anchorage,alabama_birmingham,0,-2.0,71,3,1,0,,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alaska_anchorage/to_alabama_birmingham__r1.json
alaska_anchorage,arizona_tucson,0,-0.25,131,2,1,0,D,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alaska_anchorage/to_arizona_tucson__r1.json
alaska_anchorage,arkansas_fayetteville,0,2.5625,62,1,1,1,D,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alaska_anchorage/to_arkansas_fayetteville__r1.json
alaska_anchorage,california_oakland,0,-2.4375,243,9,1,0,D,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alaska_anchorage/to_california_oakland__r2.json
alaska_anchorage,colorado_colorado_springs,0,0.25,62,1,1,1,D,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alaska_anchorage/to_colorado_colorado_springs__r0.json
alaska_anchorage,connecticut_bridgeport,0,-2.0625,742,14,1,0,D,r0,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alaska_anchorage/to_connecticut_bridgeport__r0.json
alaska_anchorage,delaware_wilmington,0,-2.875,243,17,1,0,D,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alaska_anchorage/to_delaware_wilmington__r2.json
alaska_anchorage,florida_miami,0,-0.6875,215,2,1,0,,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alaska_anchorage/to_florida_miami__r2.json
alaska_anchorage,georgia_savannah,0,-1.125,205,5,1,0,D,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alaska_anchorage/to_georgia_savannah__r1.json
alaska_anchorage,hawaii_hilo,0,1.875,46,1,1,1,D,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alaska_anchorage/to_hawaii_hilo__r2.json
alaska_anchorage,idaho_idaho_falls,0,0.125,42,1,1,0,D,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alaska_anchorage/to_idaho_idaho_falls__r2.json
alaska_anchorage,illinois_chicago,0,0.0,169,1,1,0,,r2,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alaska_anchorage/to_illinois_chicago__r2.json
alaska_anchorage,indiana_fort_wayne,0,-2.375,501,11,0,0,,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alaska_anchorage/to_indiana_fort_wayne__r1.json
alaska_anchorage,iowa_cedar_rapids,0,-0.75,412,4,1,0,D,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alaska_anchorage/to_iowa_cedar_rapids__r1.json
alaska_anchorage,kansas_wichita,0,-1.125,633,7,1,0,,r1,default,20,output/usa_states_batch/_swaps/runs/fullscale_usa_random/by_source/alaska_anchorage/to_kansas_wichita__r1.json
