dataset,entity,G_Repl,S_Repl,G_Comp,S_Comp,n_nodes,n_features,n_error_nodes,n_embed_nodes,n_logit_nodes,n_features_pinned,n_features_total,pinned_fraction
usa_states_fact_batch,alabama_birmingham,0.595244054792195,0.556705170849214,0.8680090783986327,0.8454342372418804,1621,1439,161,11,10,1383,1439,0.9610840861709521
usa_states_fact_batch,alaska_anchorage,0.6015668931131288,0.5495380912122622,0.8746179521543636,0.8448241475510758,1491,1326,144,11,10,1269,1326,0.9570135746606335
usa_states_fact_batch,arizona_tucson,0.5794953938898012,0.5450999320789484,0.8630917692907211,0.8425478255220202,1539,1363,155,11,10,1310,1363,0.9611151870873074
usa_states_fact_batch,arkansas_fayetteville,0.5893440245167849,0.5446117938106909,0.8694082146443965,0.8432883316731995,1568,1389,158,11,10,1344,1389,0.9676025917926566
usa_states_fact_batch,california_oakland,0.5945314107338333,0.5561109343235661,0.8725271411029039,0.8508070410506019,1528,1348,159,11,10,1301,1348,0.9651335311572701
usa_states_fact_batch,colorado_colorado_springs,0.5957222494426861,0.5575411790576117,0.8696206554679607,0.8475355181942589,1617,1429,166,12,10,1383,1429,0.9678096571028691
usa_states_fact_batch,connecticut_bridgeport,0.5837008929531868,0.5409430591555926,0.8656902575638058,0.8401887309874903,1540,1362,157,11,10,1308,1362,0.960352422907489
usa_states_fact_batch,delaware_wilmington,0.5693306018486283,0.5255396910849571,0.8626702493014122,0.8360997892184014,1558,1380,157,11,10,1324,1380,0.9594202898550724
usa_states_fact_batch,florida_miami,0.5792564603767434,0.5297039655809933,0.8663176912741583,0.8365949554559667,1489,1308,160,11,10,1260,1308,0.963302752293578
usa_states_fact_batch,georgia_savannah,0.5672949529480689,0.5189869800387966,0.8624406184157226,0.8328495527818062,1564,1384,159,11,10,1340,1384,0.9682080924855492
usa_states_fact_batch,hawaii_hilo,0.5838797198192194,0.5412212178003942,0.8651987628834702,0.8396655314121025,1496,1321,154,11,10,1275,1321,0.9651778955336866
usa_states_fact_batch,idaho_idaho_falls,0.5793138221853038,0.5568392001947843,0.8650829001230373,0.8521388153322651,1612,1423,167,12,10,1383,1423,0.971890372452565
usa_states_fact_batch,illinois_chicago,0.5735807815969602,0.5415587788098025,0.8611837322354678,0.8419348070451205,1576,1400,155,11,10,1349,1400,0.9635714285714285
usa_states_fact_batch,indiana_fort_wayne,0.5554693326267551,0.527977330920675,0.8567085039284678,0.83992395109264,1634,1446,166,12,10,1404,1446,0.970954356846473
usa_states_fact_batch,iowa_cedar_rapids,0.5643976654382066,0.522580981010603,0.8631302402265557,0.8379874598426114,1657,1467,168,12,10,1419,1467,0.967280163599182
usa_states_fact_batch,kansas_wichita,0.5854291529047883,0.5412209258175317,0.8655033547413549,0.8390036392323446,1530,1353,156,11,10,1304,1353,0.9637841832963784
usa_states_fact_batch,kentucky_louisville,0.5724055133091325,0.5358552383587123,0.8619330012239478,0.8399087599881985,1571,1391,159,11,10,1341,1391,0.9640546369518332
usa_states_fact_batch,louisiana_new_orleans,0.5867963756081356,0.538738930263098,0.8680769870583197,0.8395970673692381,1560,1374,164,12,10,1320,1374,0.9606986899563319
usa_states_fact_batch,maine_portland,0.5755196095309865,0.5373019190627821,0.8612335863429339,0.8379809189682915,1582,1401,160,11,10,1345,1401,0.960028551034975
