from_slug,iphone,windows,model_s,facebook,oracle_db,dell_xps,alibaba,nike_shoes,twitter,dyson,wordpress,oculus
iphone,,0.0,,,,,,,,,,
windows,0.0,,,,,,,,,,,
model_s,,,,0.0,,,,,,,,
facebook,,,,,,,,,,,,
oracle_db,,,,,,0.0,,,,,,
dell_xps,,,,,,,,,,,,
alibaba,,,,,,,,,,,,
nike_shoes,,,,,,,,,,,,
twitter,,,,,,,,,,,,
dyson,,,,,,,,0.0,,,,
wordpress,,,,,,,,,,,,
oculus,,,,,,,,,,,,
