from_slug,texas_dallas,california_oakland,new_york_new_york_city,florida_miami,illinois_chicago,washington_seattle
texas_dallas,,0.0,0.0,0.0,0.0,0.0
california_oakland,,,,,,
new_york_new_york_city,,,,,,
florida_miami,,,,,,
illinois_chicago,,,,,,
washington_seattle,,,,,,
