dataset,slug_a,slug_b,n_features_a,n_features_b,n_shared,n_union,jaccard_overlap,directional_overlap_a,directional_overlap_b,activation_stability,peak_token_agreement,peak_type_agreement,same_supernode_rate,entity_regrouped_rate,inconsistent_rate,influence_weighted_jaccard,n_supernodes_a,n_supernodes_b,n_shared_supernodes,overlap_early,overlap_mid,overlap_late
book_characters_authors_batch,anna_karenina,atticus_finch,372,318,150,540,0.2777777777777778,0.4032258064516129,0.4716981132075472,0.9119463023022328,0.9266666666666666,0.9666666666666667,0.2733333333333333,0.10666666666666667,0.62,0.2547811598996347,24,30,15,0.30303030303030304,0.3968253968253968,0.13157894736842105
book_characters_authors_batch,anna_karenina,captain_ahab,372,321,144,549,0.26229508196721313,0.3870967741935484,0.4485981308411215,0.908884607571396,0.9166666666666666,0.9722222222222222,0.2916666666666667,0.1597222222222222,0.5486111111111112,0.24402712818582997,24,27,15,0.25879396984924624,0.328125,0.22988505747126436
book_characters_authors_batch,anna_karenina,don_quixote,372,218,122,468,0.2606837606837607,0.3279569892473118,0.5596330275229358,0.9190654222930286,0.9180327868852459,0.9508196721311475,0.7950819672131147,0.14754098360655737,0.05737704918032787,0.24235836527446256,24,27,16,0.2958199356913183,0.3090909090909091,0.12745098039215685
book_characters_authors_batch,anna_karenina,dracula,372,260,149,483,0.3084886128364389,0.40053763440860213,0.573076923076923,0.9166781583336551,0.9194630872483222,0.9664429530201343,0.7785234899328859,0.15436241610738255,0.06711409395973154,0.28509755915002527,24,23,18,0.34169278996865204,0.3548387096774194,0.17647058823529413
book_characters_authors_batch,anna_karenina,ebenezer_scrooge,372,256,136,492,0.2764227642276423,0.3655913978494624,0.53125,0.8943547070865152,0.8823529411764706,0.9485294117647058,0.7132352941176471,0.19852941176470587,0.08823529411764706,0.259414241434623,24,25,15,0.2818181818181818,0.3230769230769231,0.2268041237113402
book_characters_authors_batch,anna_karenina,edmond_dantes,372,342,162,552,0.29347826086956524,0.43548387096774194,0.47368421052631576,0.9287485753057814,0.9012345679012346,0.9382716049382716,0.7530864197530864,0.14814814814814814,0.09876543209876543,0.2759014622789325,24,27,15,0.316622691292876,0.3181818181818182,0.19626168224299065
book_characters_authors_batch,anna_karenina,elizabeth_bennet,372,262,144,490,0.2938775510204082,0.3870967741935484,0.549618320610687,0.896639944412931,0.8680555555555556,0.9513888888888888,0.2569444444444444,0.1527777777777778,0.5902777777777778,0.2685928575812601,24,25,13,0.3143712574850299,0.37037037037037035,0.18627450980392157
book_characters_authors_batch,anna_karenina,emma_bovary,372,337,135,574,0.23519163763066203,0.3629032258064516,0.40059347181008903,0.8883606952684496,0.8444444444444444,0.9111111111111111,0.6370370370370371,0.22962962962962963,0.13333333333333333,0.21662707821800314,24,28,16,0.21212121212121213,0.3684210526315789,0.26136363636363635
book_characters_authors_batch,anna_karenina,frodo_baggins,372,363,159,576,0.2760416666666667,0.4274193548387097,0.4380165289256198,0.931976689019685,0.9308176100628931,0.9685534591194969,0.2641509433962264,0.10062893081761007,0.6352201257861635,0.25759269891137127,24,30,15,0.31887755102040816,0.29850746268656714,0.11965811965811966
book_characters_authors_batch,anna_karenina,gregor_samsa,372,367,163,576,0.2829861111111111,0.4381720430107527,0.444141689373297,0.8980692602218128,0.8957055214723927,0.9570552147239264,0.25153374233128833,0.12883435582822086,0.6196319018404908,0.2634440791881605,24,30,14,0.29975429975429974,0.3150684931506849,0.1875
book_characters_authors_batch,anna_karenina,hermione_granger,372,252,150,474,0.31645569620253167,0.4032258064516129,0.5952380952380952,0.9388658277738732,0.9333333333333333,0.9733333333333334,0.8466666666666667,0.08,0.07333333333333333,0.28869066267110893,24,30,17,0.4155405405405405,0.3114754098360656,0.06837606837606838
book_characters_authors_batch,anna_karenina,holden_caulfield,372,350,170,552,0.3079710144927536,0.45698924731182794,0.4857142857142857,0.8911728173650542,0.9058823529411765,0.9588235294117647,0.7529411764705882,0.011764705882352941,0.23529411764705882,0.2862039554386739,24,29,16,0.33689839572192515,0.4576271186440678,0.14285714285714285
book_characters_authors_batch,anna_karenina,huckleberry_finn,372,321,160,533,0.300187617260788,0.43010752688172044,0.4984423676012461,0.9107293710515267,0.90625,0.95625,0.7375,0.16875,0.09375,0.28165053984470484,24,28,17,0.304,0.45614035087719296,0.19801980198019803
book_characters_authors_batch,anna_karenina,jay_gatsby,372,238,134,476,0.2815126050420168,0.3602150537634409,0.5630252100840336,0.8939723608398189,0.8955223880597015,0.9328358208955224,0.2537313432835821,0.1791044776119403,0.5671641791044776,0.2640368271695444,24,24,12,0.2727272727272727,0.48148148148148145,0.20388349514563106
book_characters_authors_batch,anna_karenina,jean_valjean,372,318,166,524,0.31679389312977096,0.44623655913978494,0.5220125786163522,0.9072255080049703,0.891566265060241,0.9457831325301205,0.7349397590361446,0.15060240963855423,0.1144578313253012,0.29762831487786867,24,25,14,0.33064516129032256,0.3620689655172414,0.23404255319148937
book_characters_authors_batch,anna_karenina,katniss_everdeen,372,289,164,497,0.3299798792756539,0.44086021505376344,0.5674740484429066,0.8952674423629909,0.9329268292682927,0.9695121951219512,0.7987804878048781,0.09146341463414634,0.10975609756097561,0.3099607660177476,24,27,15,0.3738601823708207,0.39705882352941174,0.14
book_characters_authors_batch,anna_karenina,oliver_twist,372,270,135,507,0.26627218934911245,0.3629032258064516,0.5,0.8852291181684472,0.8518518518518519,0.9407407407407408,0.6592592592592592,0.22962962962962963,0.1111111111111111,0.2452194175117003,24,22,15,0.25348189415041783,0.38596491228070173,0.24175824175824176
book_characters_authors_batch,anna_karenina,raskolnikov,372,301,176,497,0.35412474849094566,0.4731182795698925,0.584717607973422,0.8966843066010338,0.8579545454545454,0.9147727272727273,0.22727272727272727,0.0625,0.7102272727272727,0.32227887740957395,24,30,15,0.3418803418803419,0.3384615384615385,0.41975308641975306
book_characters_authors_batch,anna_karenina,scout_finch,372,303,159,516,0.3081395348837209,0.4274193548387097,0.5247524752475248,0.9302678576021902,0.949685534591195,0.9748427672955975,0.27672955974842767,0.1069182389937107,0.6163522012578616,0.28312519025133465,24,28,16,0.34593023255813954,0.40625,0.12962962962962962
book_characters_authors_batch,anna_karenina,winston_smith,372,256,144,484,0.2975206611570248,0.3870967741935484,0.5625,0.9041639798981843,0.9375,0.9791666666666666,0.7569444444444444,0.1111111111111111,0.13194444444444445,0.276650925784597,24,25,16,0.3343558282208589,0.29508196721311475,0.17525773195876287
book_characters_authors_batch,atticus_finch,captain_ahab,318,321,141,498,0.28313253012048195,0.44339622641509435,0.4392523364485981,0.9079710107752421,0.900709219858156,0.950354609929078,0.2765957446808511,0.09929078014184398,0.624113475177305,0.254278950946184,30,27,16,0.30383480825958703,0.3088235294117647,0.18681318681318682
book_characters_authors_batch,atticus_finch,don_quixote,318,218,113,423,0.26713947990543735,0.3553459119496855,0.518348623853211,0.9215078006194473,0.8938053097345132,0.9823008849557522,0.3185840707964602,0.07079646017699115,0.6106194690265486,0.2422912284739367,30,27,16,0.34375,0.288135593220339,0.07407407407407407
book_characters_authors_batch,atticus_finch,dracula,318,260,134,444,0.30180180180180183,0.42138364779874216,0.5153846153846153,0.9364773726047909,0.8880597014925373,0.9701492537313433,0.26865671641791045,0.08208955223880597,0.6492537313432836,0.2706444227486241,30,23,15,0.37174721189591076,0.31343283582089554,0.12037037037037036
book_characters_authors_batch,atticus_finch,ebenezer_scrooge,318,256,126,448,0.28125,0.39622641509433965,0.4921875,0.9056929638276703,0.8968253968253969,0.9761904761904762,0.25396825396825395,0.10317460317460317,0.6428571428571429,0.25744842343068686,30,25,15,0.3284671532846715,0.2857142857142857,0.15384615384615385
book_characters_authors_batch,atticus_finch,edmond_dantes,318,342,142,518,0.27413127413127414,0.44654088050314467,0.4152046783625731,0.925489549797701,0.9084507042253521,0.9788732394366197,0.2605633802816901,0.06338028169014084,0.676056338028169,0.24776519472052658,30,27,14,0.3373860182370821,0.28169014084507044,0.09322033898305085
book_characters_authors_batch,atticus_finch,elizabeth_bennet,318,262,132,448,0.29464285714285715,0.41509433962264153,0.5038167938931297,0.9268732296370312,0.8939393939393939,0.9772727272727273,0.7575757575757576,0.10606060606060606,0.13636363636363635,0.2634894050766899,30,25,16,0.34275618374558303,0.2786885245901639,0.17307692307692307
book_characters_authors_batch,atticus_finch,emma_bovary,318,337,115,540,0.21296296296296297,0.36163522012578614,0.34124629080118696,0.9005746132278382,0.8869565217391304,0.9826086956521739,0.26956521739130435,0.12173913043478261,0.6086956521739131,0.18951382940282108,30,28,14,0.21635883905013192,0.30158730158730157,0.14285714285714285
book_characters_authors_batch,atticus_finch,frodo_baggins,318,363,146,535,0.27289719626168224,0.4591194968553459,0.4022038567493113,0.917375712968261,0.9315068493150684,0.958904109589041,0.7876712328767124,0.0684931506849315,0.14383561643835616,0.24710288177420514,30,30,16,0.31988472622478387,0.2465753424657534,0.14782608695652175
book_characters_authors_batch,atticus_finch,gregor_samsa,318,367,150,535,0.2803738317757009,0.4716981132075472,0.4087193460490463,0.9080820868103365,0.92,0.96,0.26,0.1,0.64,0.2525647816916311,30,30,16,0.2983425414364641,0.3698630136986301,0.15
book_characters_authors_batch,atticus_finch,hermione_granger,318,252,144,426,0.3380281690140845,0.4528301886792453,0.5714285714285714,0.9173998506350058,0.9305555555555556,0.9791666666666666,0.2569444444444444,0.06944444444444445,0.6736111111111112,0.30134944382616485,30,30,14,0.44,0.3333333333333333,0.11504424778761062
book_characters_authors_batch,atticus_finch,holden_caulfield,318,350,177,491,0.3604887983706721,0.5566037735849056,0.5057142857142857,0.8689701377562347,0.8700564971751412,0.9774011299435028,0.21468926553672316,0.005649717514124294,0.7796610169491526,0.3310178062496265,30,29,14,0.35276073619631904,0.5517241379310345,0.2803738317757009
book_characters_authors_batch,atticus_finch,huckleberry_finn,318,321,157,482,0.3257261410788382,0.4937106918238994,0.48909657320872274,0.8691255483986609,0.8853503184713376,0.9745222929936306,0.2229299363057325,0.1464968152866242,0.6305732484076433,0.29386741147668016,30,28,15,0.31901840490797545,0.4032258064516129,0.2978723404255319
book_characters_authors_batch,atticus_finch,jay_gatsby,318,238,132,424,0.3113207547169811,0.41509433962264153,0.5546218487394958,0.8814328906682182,0.9015151515151515,0.9772727272727273,0.6666666666666666,0.14393939393939395,0.1893939393939394,0.27870089942363024,30,24,15,0.3193916349809886,0.423728813559322,0.22549019607843138
book_characters_authors_batch,atticus_finch,jean_valjean,318,318,148,488,0.30327868852459017,0.46540880503144655,0.46540880503144655,0.9247496348043842,0.9054054054054054,0.9594594594594594,0.25,0.0945945945945946,0.6554054054054054,0.2752581645820463,30,25,14,0.3415384615384615,0.31746031746031744,0.17
book_characters_authors_batch,atticus_finch,katniss_everdeen,318,289,163,444,0.36711711711711714,0.5125786163522013,0.5640138408304498,0.8810822968590784,0.9141104294478528,0.9938650306748467,0.25766871165644173,0.09202453987730061,0.6503067484662577,0.33052663736380145,30,27,14,0.42391304347826086,0.4142857142857143,0.17346938775510204
book_characters_authors_batch,atticus_finch,oliver_twist,318,270,121,467,0.25910064239828695,0.3805031446540881,0.44814814814814813,0.8876301894836934,0.8842975206611571,0.9752066115702479,0.2727272727272727,0.11570247933884298,0.6115702479338843,0.2312273591020142,30,22,15,0.2694805194805195,0.36065573770491804,0.16326530612244897
book_characters_authors_batch,atticus_finch,raskolnikov,318,301,144,475,0.3031578947368421,0.4528301886792453,0.47840531561461797,0.9206733887439398,0.9027777777777778,0.9861111111111112,0.7708333333333334,0.0,0.22916666666666666,0.271998596471576,30,30,16,0.35973597359735976,0.3,0.13725490196078433
book_characters_authors_batch,atticus_finch,scout_finch,318,303,209,412,0.5072815533980582,0.6572327044025157,0.6897689768976898,0.9832229775182642,0.8899521531100478,0.9856459330143541,0.9186602870813397,0.0,0.08133971291866028,0.4431983971225081,30,28,26,0.4377224199288256,0.5932203389830508,0.7083333333333334
book_characters_authors_batch,atticus_finch,winston_smith,318,256,141,433,0.325635103926097,0.44339622641509435,0.55078125,0.907702487023112,0.9148936170212766,0.9787234042553191,0.2198581560283688,0.12056737588652482,0.6595744680851063,0.2911605156418756,30,25,15,0.3722627737226277,0.3387096774193548,0.18556701030927836
book_characters_authors_batch,captain_ahab,don_quixote,321,218,120,419,0.2863961813842482,0.37383177570093457,0.5504587155963303,0.915196841907184,0.9083333333333333,0.9333333333333333,0.31666666666666665,0.15833333333333333,0.525,0.2573309796051261,27,27,16,0.30526315789473685,0.35185185185185186,0.175
