swap_id,from_slug,to_slug,from_capital,to_capital,n_positions,target_appears_at,source_appears_at,flip_position,initial_gap,best_gap,final_gap,gap_closure,control_stability_mean,control_stability_max,target_first_top1,target_first_top5,target_first_top10,target_max_prob,target_min_rank,target_final_rank,target_rank_improvement,source_final_rank,source_max_prob,target_logit_delta_0,source_logit_delta_0,baseline_gap,steered_gap_0,gap_closure_0,target_rank_improvement_0,flip_at_0,baseline_target_rank,baseline_source_rank,baseline_target_prob,baseline_source_prob
alibaba__to__alibaba,alibaba,alibaba,,,2,3.0,3.0,,0.0,0.0,0.0,0.0,1.125,2.0,,,,3.2e-05,317.0,1204.0,0.0,1204.0,3.2e-05,-7.75,-7.75,0.0,0.0,0.0,-316.0,False,1,1,0.386719,0.386719
alibaba__to__dell_xps,alibaba,dell_xps,,,2,,,,-0.125,-0.125,-1.1875,0.0,4.125,4.75,,,,0.0,2394.0,2640.0,0.0,1383.0,0.0,-5.75,-13.375,-7.75,-0.125,7.625,-2266.0,False,128,1,0.000167,0.386719
alibaba__to__dyson,alibaba,dyson,,,2,,,,-1.1641,-1.1641,-5.5,0.0,15.1562,20.0,,,,1e-06,827.0,827.0,93163.0,80.0,0.00013,-17.6094,-26.6953,-10.25,-1.1641,9.0859,-93525.0,False,465,1,1.4e-05,0.386719
alibaba__to__facebook,alibaba,facebook,,,2,0.0,,0.0,3.375,5.125,5.125,1.75,1.0625,1.75,,,,0.004211,47.0,123.0,0.0,925.0,0.000145,8.25,-4.25,-9.125,3.375,12.5,212.0,True,259,1,4.2e-05,0.386719
alibaba__to__iphone,alibaba,iphone,,,2,0.0,,0.0,1.875,4.6875,4.6875,2.8125,5.5469,11.0,,,1.0,0.004761,6.0,6.0,107.0,70.0,4.4e-05,2.625,-7.5,-8.25,1.875,10.125,50.0,True,163,1,0.000101,0.386719
alibaba__to__model_s,alibaba,model_s,,,2,0.0,,0.0,2.0625,2.0625,-2.4375,0.0,9.1855,13.2344,,,,0.0,3950.0,38450.0,0.0,9647.0,0.0,-19.0,-33.75,-12.6875,2.0625,14.75,-2514.0,True,1436,1,1e-06,0.386719
alibaba__to__nike_shoes,alibaba,nike_shoes,,,2,,3.0,,-5.0625,-5.0625,-9.0,0.0,5.5312,6.5,,,,0.0,1330.0,3550.0,0.0,101.0,0.000748,2.4375,-7.25,-14.75,-5.0625,9.6875,2108.0,False,3438,1,0.0,0.386719
alibaba__to__oculus,alibaba,oculus,,,2,,9.0,,-13.25,-7.3125,-7.3125,5.9375,5.7812,10.6875,,,,0.0,1710.0,1710.0,5197.0,15.0,0.131836,0.875,-4.5,-18.625,-13.25,5.375,7139.0,False,14046,1,0.0,0.386719
alibaba__to__oracle_db,alibaba,oracle_db,,,2,,,,-4.8125,-4.8125,-5.875,0.0,2.3125,6.5,,,,4.9e-05,280.0,280.0,2964.0,8.0,0.017578,-1.375,-7.5,-10.9375,-4.8125,6.125,-2612.0,False,632,1,7e-06,0.386719
alibaba__to__twitter,alibaba,twitter,,,2,,,,0.0,0.0,0.0,0.0,1.2812,2.625,,,,0.00011,258.0,928.0,0.0,928.0,0.00011,-5.5,-5.5,0.0,0.0,0.0,-257.0,False,1,1,0.386719,0.386719
alibaba__to__windows,alibaba,windows,,,2,0.0,,0.0,5.875,7.4375,7.4375,1.5625,7.2812,11.0,,,,0.002655,31.0,132.0,0.0,2570.0,7e-06,10.5625,-6.5,-11.1875,5.875,17.0625,693.0,True,724,1,5e-06,0.386719
alibaba__to__wordpress,alibaba,wordpress,,,2,,,,-6.8125,-3.9375,-3.9375,2.875,4.75,9.25,,,,0.0,4489.0,4489.0,142.0,706.0,8.7e-05,-1.4375,-4.375,-9.75,-6.8125,2.9375,-4246.0,False,385,1,2.3e-05,0.386719
dell_xps__to__alibaba,dell_xps,alibaba,,,0,,,,,,,,,,,,,,,,,,,,,-6.8125,,,,False,46,1,0.000706,0.640625
dell_xps__to__dell_xps,dell_xps,dell_xps,,,0,2.0,2.0,,,,,,,,,,,,,,,,,,,0.0,,,,False,1,1,0.640625,0.640625
dell_xps__to__dyson,dell_xps,dyson,,,0,,4.0,,,,,,,,,,,,,,,,,,,-7.4375,,,,False,74,1,0.000378,0.640625
dell_xps__to__facebook,dell_xps,facebook,,,0,0.0,,,,,,,,,,,,,,,,,,,,-5.625,,,,False,23,1,0.002319,0.640625
dell_xps__to__iphone,dell_xps,iphone,,,0,0.0,,,,,,,,,,,,,,,,,,,,-8.4688,,,,False,153,1,0.000134,0.640625
dell_xps__to__model_s,dell_xps,model_s,,,0,0.0,,,,,,,,,,,,,,,,,,,,-11.3125,,,,False,758,1,8e-06,0.640625
dell_xps__to__nike_shoes,dell_xps,nike_shoes,,,0,,4.0,,,,,,,,,,,,,,,,,,,-9.9062,,,,False,346,1,3.2e-05,0.640625
dell_xps__to__oculus,dell_xps,oculus,,,0,,,,,,,,,,,,,,,,,,,,,-14.1719,,,,False,3758,1,0.0,0.640625
dell_xps__to__oracle_db,dell_xps,oracle_db,,,0,,,,,,,,,,,,,,,,,,,,,-11.1562,,,,False,702,1,9e-06,0.640625
dell_xps__to__twitter,dell_xps,twitter,,,0,,,,,,,,,,,,,,,,,,,,,-6.8125,,,,False,46,1,0.000706,0.640625
dell_xps__to__windows,dell_xps,windows,,,0,0.0,,,,,,,,,,,,,,,,,,,,-6.875,,,,False,47,1,0.000664,0.640625
dell_xps__to__wordpress,dell_xps,wordpress,,,0,,,,,,,,,,,,,,,,,,,,,-12.1875,,,,False,1238,1,3e-06,0.640625
dyson__to__alibaba,dyson,alibaba,,,0,,3.0,,,,,,,,,,,,,,,,,,,-9.0625,,,,False,204,1,4.7e-05,0.410156
