from_slug,alabama_birmingham,alaska_anchorage,arizona_tucson,arkansas_fayetteville,california_oakland,colorado_colorado_springs,connecticut_bridgeport,delaware_wilmington,florida_miami,georgia_savannah,hawaii_hilo,idaho_idaho_falls,illinois_chicago,indiana_fort_wayne,iowa_cedar_rapids,kansas_wichita,kentucky_louisville,louisiana_new_orleans,maine_portland,maryland_baltimore,massachusetts_worcester,michigan_detroit,minnesota_minneapolis,mississippi_gulfport,missouri_kansas_city,montana_billings,nebraska_omaha,nevada_las_vegas,new_hampshire_manchester,new_jersey_newark,new_mexico_albuquerque,new_york_new_york_city,north_carolina_charlotte,north_dakota_fargo,ohio_cleveland,oklahoma_tulsa,oregon_portland,pennsylvania_philadelphia,rhode_island_warwick,south_carolina_charleston,south_dakota_sioux_falls,tennessee_memphis,texas_dallas,utah_provo,vermont_burlington,virginia_virginia_beach,washington_seattle,west_virginia_huntington,wisconsin_milwaukee,wyoming_casper
oklahoma_tulsa,1.0,2.0,5.0,1.0,5.0,4.0,1.0,2.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,2.0,1.0,2.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0
oregon_portland,4.0,0.0,5.0,1.0,5.0,4.0,2.0,1.0,3.0,2.0,2.0,5.0,5.0,2.0,5.0,4.0,4.0,4.0,4.0,2.0,0.0,5.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,0.0,5.0,4.0,5.0,5.0,2.0,3.0,0.0,5.0,3.0,2.0,3.0,2.0,0.0,3.0,5.0,1.0
pennsylvania_philadelphia,1.0,2.0,5.0,1.0,5.0,4.0,4.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,4.0,4.0,1.0,4.0,2.0,1.0,5.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0,5.0,2.0,2.0,2.0,2.0,5.0,4.0,1.0,5.0,5.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,0.0,5.0,4.0,1.0
rhode_island_warwick,4.0,0.0,5.0,1.0,4.0,4.0,4.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,0.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,0.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,0.0,3.0,5.0,0.0
south_carolina_charleston,5.0,0.0,5.0,1.0,5.0,4.0,4.0,1.0,3.0,1.0,1.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,2.0,0.0,5.0,5.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,5.0,2.0,1.0,5.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,5.0,5.0,1.0
south_dakota_sioux_falls,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,0.0,2.0,0.0,2.0,3.0,5.0,2.0,0.0,4.0,2.0,0.0,2.0,4.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,5.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0
tennessee_memphis,5.0,0.0,5.0,1.0,5.0,4.0,5.0,1.0,3.0,1.0,2.0,5.0,5.0,2.0,5.0,4.0,4.0,4.0,1.0,0.0,2.0,5.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,4.0,1.0,5.0,5.0,4.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0
texas_dallas,1.0,0.0,5.0,1.0,5.0,5.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,5.0,4.0,1.0,4.0,1.0,1.0,1.0,5.0,4.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,1.0,5.0,2.0,3.0,1.0,1.0,5.0,2.0,1.0,2.0,0.0,3.0,5.0,1.0
utah_provo,1.0,2.0,1.0,1.0,2.0,4.0,5.0,2.0,3.0,1.0,2.0,1.0,5.0,3.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,5.0,2.0,3.0,1.0,1.0,3.0,5.0,2.0,2.0,0.0,3.0,5.0,1.0
vermont_burlington,4.0,0.0,5.0,1.0,4.0,4.0,5.0,0.0,3.0,0.0,2.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,0.0,0.0,2.0,5.0,4.0,2.0,0.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0,2.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,0.0,5.0,4.0,3.0,4.0,2.0,0.0,3.0,5.0,2.0
virginia_virginia_beach,1.0,1.0,5.0,1.0,5.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,4.0,1.0,1.0,5.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,4.0,1.0,5.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0
washington_seattle,1.0,0.0,5.0,1.0,5.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,4.0,2.0,5.0,4.0,4.0,4.0,1.0,1.0,2.0,5.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,5.0,5.0,4.0,1.0,4.0,5.0,4.0,1.0,5.0,3.0,2.0,2.0,2.0,5.0,4.0,5.0,1.0
west_virginia_huntington,4.0,0.0,5.0,1.0,4.0,5.0,4.0,2.0,5.0,1.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,4.0,2.0,5.0,0.0,2.0,2.0,2.0,5.0,4.0,1.0,5.0,5.0,4.0,4.0,1.0,4.0,3.0,2.0,2.0,0.0,4.0,4.0,2.0
wisconsin_milwaukee,1.0,2.0,5.0,1.0,5.0,4.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,5.0,4.0,1.0,2.0,2.0,1.0,2.0,5.0,4.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,1.0,4.0,5.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,1.0
wyoming_casper,2.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,4.0,1.0,1.0,5.0,4.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,5.0
